# BEGIN PLOT
Legend=1
LogY=1
Title=Charged particle spectrum ($E_\mathrm{CMS}=161$ GeV)
XLabel=$x_p$
YLabel=$1/\sigma \, \mathrm{d}{\sigma}/\mathrm{d}{x_p}$
FullRange=1
DrawOnly=/ALEPH_2004_S5765862/d03-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d03-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d03-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d03-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d03-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	2.000000e-02	5.138397e+02	1.916500e+01	1.916500e+01
2.000000e-02	3.000000e-02	3.130757e+02	1.240975e+01	1.240975e+01
3.000000e-02	4.000000e-02	2.019246e+02	9.765991e+00	9.765991e+00
4.000000e-02	5.000000e-02	1.439371e+02	8.090009e+00	8.090009e+00
5.000000e-02	6.000000e-02	1.077695e+02	6.908249e+00	6.908249e+00
6.000000e-02	7.000000e-02	9.032410e+01	6.292935e+00	6.292935e+00
7.000000e-02	8.000000e-02	6.734360e+01	4.765041e+00	4.765041e+00
8.000000e-02	9.000000e-02	5.955160e+01	4.889937e+00	4.889937e+00
9.000000e-02	1.000000e-01	3.819730e+01	3.957848e+00	3.957848e+00
1.000000e-01	1.200000e-01	3.372270e+01	2.584933e+00	2.584933e+00
1.200000e-01	1.400000e-01	2.851970e+01	2.363268e+00	2.363268e+00
1.400000e-01	1.600000e-01	2.080960e+01	2.038285e+00	2.038285e+00
1.600000e-01	1.800000e-01	1.490180e+01	1.780071e+00	1.780071e+00
1.800000e-01	2.000000e-01	1.280180e+01	1.607219e+00	1.607219e+00
2.000000e-01	2.500000e-01	8.884100e+00	8.379875e-01	8.379875e-01
2.500000e-01	3.000000e-01	5.283300e+00	6.460288e-01	6.460288e-01
3.000000e-01	4.000000e-01	2.535200e+00	2.965863e-01	2.965863e-01
4.000000e-01	5.000000e-01	9.282000e-01	1.858822e-01	1.858822e-01
5.000000e-01	6.000000e-01	3.734000e-01	1.210148e-01	1.210148e-01
6.000000e-01	7.000000e-01	2.033000e-01	8.366606e-02	8.366606e-02
7.000000e-01	8.000000e-01	4.900000e-02	3.950608e-02	3.950608e-02
8.000000e-01	1.000000e+00	-1.600000e-03	1.330338e-02	1.330338e-02
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d03-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d03-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	2.000000e-02	4.854743e+02	9.853672e-02	9.853672e-02
2.000000e-02	3.000000e-02	2.879403e+02	7.588680e-02	7.588680e-02
3.000000e-02	4.000000e-02	1.932002e+02	6.216111e-02	6.216111e-02
4.000000e-02	5.000000e-02	1.393294e+02	5.278814e-02	5.278814e-02
5.000000e-02	6.000000e-02	1.051629e+02	4.586129e-02	4.586129e-02
6.000000e-02	7.000000e-02	8.199750e+01	4.049630e-02	4.049630e-02
7.000000e-02	8.000000e-02	6.573352e+01	3.625838e-02	3.625838e-02
8.000000e-02	9.000000e-02	5.383872e+01	3.281423e-02	3.281423e-02
9.000000e-02	1.000000e-01	4.492012e+01	2.997336e-02	2.997336e-02
1.000000e-01	1.200000e-01	3.520611e+01	1.876329e-02	1.876329e-02
1.200000e-01	1.400000e-01	2.618036e+01	1.618034e-02	1.618034e-02
1.400000e-01	1.600000e-01	2.006615e+01	1.416550e-02	1.416550e-02
1.600000e-01	1.800000e-01	1.571569e+01	1.253622e-02	1.253622e-02
1.800000e-01	2.000000e-01	1.252155e+01	1.118997e-02	1.118997e-02
2.000000e-01	2.500000e-01	8.758956e+00	5.919107e-03	5.919107e-03
2.500000e-01	3.000000e-01	5.407480e+00	4.650798e-03	4.650798e-03
3.000000e-01	4.000000e-01	2.853866e+00	2.389086e-03	2.389086e-03
4.000000e-01	5.000000e-01	1.233916e+00	1.570933e-03	1.570933e-03
5.000000e-01	6.000000e-01	5.331660e-01	1.032634e-03	1.032634e-03
6.000000e-01	7.000000e-01	2.204020e-01	6.639307e-04	6.639307e-04
7.000000e-01	8.000000e-01	8.355200e-02	4.087836e-04	4.087836e-04
8.000000e-01	1.000000e+00	1.425400e-02	1.193901e-04	1.193901e-04
# END HISTO1D

