# BEGIN PLOT
Legend=1
LogY=1
Title=Charged particle spectrum ($E_\mathrm{CMS}=133$ GeV)
XLabel=$\xi_p$
YLabel=$1/\sigma \, \mathrm{d}\sigma/\mathrm{d}\xi_p$
FullRange=1
LegendYPos=0.65
DrawOnly=/ALEPH_2004_S5765862/d11-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d11-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d11-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d11-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d11-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d11-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d11-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.240000e-02	7.217340e-03	7.217340e-03
2.000000e-01	4.000000e-01	5.570000e-02	2.040882e-02	2.040882e-02
4.000000e-01	6.000000e-01	1.175000e-01	2.987390e-02	2.987390e-02
6.000000e-01	8.000000e-01	3.851000e-01	5.067741e-02	5.067741e-02
8.000000e-01	1.000000e+00	5.933000e-01	6.620612e-02	6.620612e-02
1.000000e+00	1.200000e+00	9.716000e-01	8.469929e-02	8.469929e-02
1.200000e+00	1.400000e+00	1.623900e+00	1.087729e-01	1.087729e-01
1.400000e+00	1.600000e+00	1.857600e+00	1.126365e-01	1.126365e-01
1.600000e+00	1.800000e+00	2.189000e+00	1.167072e-01	1.167072e-01
1.800000e+00	2.000000e+00	3.139900e+00	1.541062e-01	1.541062e-01
2.000000e+00	2.200000e+00	3.600300e+00	1.612393e-01	1.612393e-01
2.200000e+00	2.400000e+00	4.484400e+00	1.788809e-01	1.788809e-01
2.400000e+00	2.600000e+00	4.740700e+00	1.822175e-01	1.822175e-01
2.600000e+00	2.800000e+00	5.539700e+00	1.947119e-01	1.947119e-01
2.800000e+00	3.000000e+00	5.765200e+00	2.116089e-01	2.116089e-01
3.000000e+00	3.200000e+00	6.748000e+00	2.291888e-01	2.291888e-01
3.200000e+00	3.400000e+00	6.195700e+00	2.155827e-01	2.155827e-01
3.400000e+00	3.600000e+00	6.861700e+00	2.354067e-01	2.354067e-01
3.600000e+00	3.800000e+00	7.033400e+00	2.449929e-01	2.449929e-01
3.800000e+00	4.000000e+00	7.067400e+00	2.454612e-01	2.454612e-01
4.000000e+00	4.200000e+00	7.163800e+00	2.532519e-01	2.532519e-01
4.200000e+00	4.400000e+00	7.267200e+00	2.474887e-01	2.474887e-01
4.400000e+00	4.600000e+00	6.699100e+00	2.306949e-01	2.306949e-01
4.600000e+00	4.800000e+00	5.813700e+00	2.280279e-01	2.280279e-01
4.800000e+00	5.000000e+00	5.413200e+00	2.192008e-01	2.192008e-01
5.000000e+00	5.200000e+00	5.209400e+00	2.092343e-01	2.092343e-01
5.200000e+00	5.400000e+00	4.180100e+00	2.194155e-01	2.194155e-01
5.400000e+00	5.600000e+00	2.991300e+00	1.809079e-01	1.809079e-01
5.600000e+00	5.800000e+00	2.349400e+00	2.243763e-01	2.243763e-01
5.800000e+00	6.000000e+00	1.888200e+00	1.889919e+00	1.889919e+00
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d11-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d11-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.097100e-02	1.047425e-04	1.047425e-04
2.000000e-01	4.000000e-01	7.218200e-02	2.686671e-04	2.686671e-04
4.000000e-01	6.000000e-01	2.038990e-01	4.515518e-04	4.515518e-04
6.000000e-01	8.000000e-01	4.212280e-01	6.490208e-04	6.490208e-04
8.000000e-01	1.000000e+00	7.222670e-01	8.498629e-04	8.498629e-04
1.000000e+00	1.200000e+00	1.092168e+00	1.045068e-03	1.045068e-03
1.200000e+00	1.400000e+00	1.520357e+00	1.233028e-03	1.233028e-03
1.400000e+00	1.600000e+00	1.997729e+00	1.413410e-03	1.413410e-03
1.600000e+00	1.800000e+00	2.506380e+00	1.583155e-03	1.583155e-03
1.800000e+00	2.000000e+00	3.037551e+00	1.742857e-03	1.742857e-03
2.000000e+00	2.200000e+00	3.586687e+00	1.893855e-03	1.893855e-03
2.200000e+00	2.400000e+00	4.132331e+00	2.032813e-03	2.032813e-03
2.400000e+00	2.600000e+00	4.677534e+00	2.162761e-03	2.162761e-03
2.600000e+00	2.800000e+00	5.224490e+00	2.285714e-03	2.285714e-03
2.800000e+00	3.000000e+00	5.732415e+00	2.394246e-03	2.394246e-03
3.000000e+00	3.200000e+00	6.176810e+00	2.485319e-03	2.485319e-03
3.200000e+00	3.400000e+00	6.522865e+00	2.553990e-03	2.553990e-03
3.400000e+00	3.600000e+00	6.769950e+00	2.601912e-03	2.601912e-03
3.600000e+00	3.800000e+00	6.912700e+00	2.629202e-03	2.629202e-03
3.800000e+00	4.000000e+00	6.930835e+00	2.632648e-03	2.632648e-03
4.000000e+00	4.200000e+00	6.825690e+00	2.612602e-03	2.612602e-03
4.200000e+00	4.400000e+00	6.581215e+00	2.565388e-03	2.565388e-03
4.400000e+00	4.600000e+00	6.194725e+00	2.488920e-03	2.488920e-03
4.600000e+00	4.800000e+00	5.669995e+00	2.381176e-03	2.381176e-03
4.800000e+00	5.000000e+00	5.029650e+00	2.242688e-03	2.242688e-03
5.000000e+00	5.200000e+00	4.307584e+00	2.075472e-03	2.075472e-03
5.200000e+00	5.400000e+00	3.548790e+00	1.883823e-03	1.883823e-03
5.400000e+00	5.600000e+00	2.799780e+00	1.673254e-03	1.673254e-03
5.600000e+00	5.800000e+00	2.118019e+00	1.455342e-03	1.455342e-03
5.800000e+00	6.000000e+00	1.535509e+00	1.239157e-03	1.239157e-03
# END HISTO1D

