# BEGIN PLOT
Legend=1
LogY=1
Title=Aplanarity ($E_\mathrm{CMS}=133$ GeV)
XLabel=$A$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}A$
DrawOnly=/ALEPH_2004_S5765862/d119-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d119-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d119-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d119-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d119-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d119-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d119-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	1.135383e+02	8.973949e+00	8.973949e+00
2.000000e-03	5.000000e-03	1.070141e+02	7.723060e+00	7.723060e+00
5.000000e-03	7.000000e-03	5.265080e+01	4.996622e+00	4.996622e+00
7.000000e-03	1.000000e-02	3.118220e+01	3.737257e+00	3.737257e+00
1.000000e-02	1.500000e-02	1.814230e+01	1.972819e+00	1.972819e+00
1.500000e-02	2.000000e-02	8.332300e+00	1.283864e+00	1.283864e+00
2.000000e-02	3.000000e-02	4.405100e+00	6.691937e-01	6.691937e-01
3.000000e-02	4.000000e-02	2.515500e+00	5.168715e-01	5.168715e-01
4.000000e-02	6.000000e-02	7.592000e-01	2.131373e-01	2.131373e-01
6.000000e-02	8.000000e-02	4.385000e-01	1.416993e-01	1.416993e-01
8.000000e-02	1.000000e-01	2.790000e-01	1.183641e-01	1.183641e-01
1.000000e-01	1.200000e-01	2.629000e-01	1.185276e-01	1.185276e-01
1.200000e-01	1.400000e-01	4.400000e-02	4.709820e-02	4.709820e-02
1.400000e-01	1.600000e-01	4.770000e-02	4.777635e-02	4.777635e-02
1.600000e-01	2.000000e-01	2.080000e-02	2.179197e-02	2.179197e-02
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d119-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d119-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	1.052901e+02	1.026110e-01	1.026110e-01
2.000000e-03	5.000000e-03	1.014217e+02	8.222803e-02	8.222803e-02
5.000000e-03	7.000000e-03	5.785070e+01	7.605965e-02	7.605965e-02
7.000000e-03	1.000000e-02	3.580553e+01	4.885730e-02	4.885730e-02
1.000000e-02	1.500000e-02	1.915696e+01	2.768173e-02	2.768173e-02
1.500000e-02	2.000000e-02	1.013928e+01	2.013880e-02	2.013880e-02
2.000000e-02	3.000000e-02	5.062420e+00	1.006223e-02	1.006223e-02
3.000000e-02	4.000000e-02	2.396240e+00	6.922774e-03	6.922774e-03
4.000000e-02	6.000000e-02	1.075380e+00	3.279299e-03	3.279299e-03
6.000000e-02	8.000000e-02	4.431700e-01	2.105160e-03	2.105160e-03
8.000000e-02	1.000000e-01	2.214500e-01	1.488120e-03	1.488120e-03
1.000000e-01	1.200000e-01	1.222400e-01	1.105622e-03	1.105622e-03
1.200000e-01	1.400000e-01	7.020000e-02	8.378544e-04	8.378544e-04
1.400000e-01	1.600000e-01	4.276000e-02	6.539113e-04	6.539113e-04
1.600000e-01	2.000000e-01	2.155000e-02	3.282530e-04	3.282530e-04
# END HISTO1D

