# BEGIN PLOT
Legend=1
LogY=1
Title=Aplanarity ($E_\mathrm{CMS}=206$ GeV)
XLabel=$A$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}A$
DrawOnly=/ALEPH_2004_S5765862/d125-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d125-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d125-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d125-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NLO-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d125-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d125-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d125-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d125-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d125-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NLO-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d125-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d125-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d125-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d125-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	1.948773e+02	5.540199e+00	5.540199e+00
2.000000e-03	5.000000e-03	8.268000e+01	3.374105e+00	3.374105e+00
5.000000e-03	7.000000e-03	3.536930e+01	2.216525e+00	2.216525e+00
7.000000e-03	1.000000e-02	1.908900e+01	1.611010e+00	1.611010e+00
1.000000e-02	1.500000e-02	1.076690e+01	9.396954e-01	9.396954e-01
1.500000e-02	2.000000e-02	4.716000e+00	6.508889e-01	6.508889e-01
2.000000e-02	3.000000e-02	3.657200e+00	4.592237e-01	4.592237e-01
3.000000e-02	4.000000e-02	1.663200e+00	3.351736e-01	3.351736e-01
4.000000e-02	6.000000e-02	1.023500e+00	1.964841e-01	1.964841e-01
6.000000e-02	8.000000e-02	4.866000e-01	1.894392e-01	1.894392e-01
8.000000e-02	1.000000e-01	7.970000e-02	1.280679e-01	1.280679e-01
1.000000e-01	1.200000e-01	-9.400000e-03	9.115202e-02	9.115202e-02
1.200000e-01	1.400000e-01	1.986000e-01	1.290774e-01	1.290774e-01
1.400000e-01	1.600000e-01	6.510000e-02	1.392266e-01	1.392266e-01
1.600000e-01	2.000000e-01	-6.500000e-03	5.540442e-02	5.540442e-02
2.000000e-01	3.000000e-01	2.720000e-02	5.726168e-02	5.726168e-02
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d125-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d125-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	1.842156e+02	1.357260e-01	1.357260e-01
2.000000e-03	5.000000e-03	9.785160e+01	8.076782e-02	8.076782e-02
5.000000e-03	7.000000e-03	4.395650e+01	6.629970e-02	6.629970e-02
7.000000e-03	1.000000e-02	2.510073e+01	4.090699e-02	4.090699e-02
1.000000e-02	1.500000e-02	1.290372e+01	2.271891e-02	2.271891e-02
1.500000e-02	2.000000e-02	6.665280e+00	1.632823e-02	1.632823e-02
2.000000e-02	3.000000e-02	3.351260e+00	8.186892e-03	8.186892e-03
3.000000e-02	4.000000e-02	1.587500e+00	5.634714e-03	5.634714e-03
4.000000e-02	6.000000e-02	7.168500e-01	2.677405e-03	2.677405e-03
6.000000e-02	8.000000e-02	3.024800e-01	1.739195e-03	1.739195e-03
8.000000e-02	1.000000e-01	1.493100e-01	1.221925e-03	1.221925e-03
1.000000e-01	1.200000e-01	8.133000e-02	9.018315e-04	9.018315e-04
1.200000e-01	1.400000e-01	4.844000e-02	6.959885e-04	6.959885e-04
1.400000e-01	1.600000e-01	2.911000e-02	5.395368e-04	5.395368e-04
1.600000e-01	2.000000e-01	1.498000e-02	2.736786e-04	2.736786e-04
2.000000e-01	3.000000e-01	3.778000e-03	8.692526e-05	8.692526e-05
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d125-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d125-x01-y01
ScaledBy=1.00009600921688489e-06
Title=Caitlyn, Jul8 2025
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	2.409516e+02	3.471129e-01	3.471129e-01
2.000000e-03	5.000000e-03	9.229753e+01	1.754104e-01	1.754104e-01
5.000000e-03	7.000000e-03	3.359422e+01	1.296099e-01	1.296099e-01
7.000000e-03	1.000000e-02	1.781371e+01	7.706149e-02	7.706149e-02
1.000000e-02	1.500000e-02	8.645430e+00	4.158428e-02	4.158428e-02
1.500000e-02	2.000000e-02	4.409624e+00	2.969864e-02	2.969864e-02
2.000000e-02	3.000000e-02	2.250016e+00	1.500077e-02	1.500077e-02
3.000000e-02	4.000000e-02	1.101206e+00	1.049434e-02	1.049434e-02
4.000000e-02	6.000000e-02	5.298510e-01	5.147337e-03	5.147337e-03
6.000000e-02	8.000000e-02	2.397230e-01	3.462268e-03	3.462268e-03
8.000000e-02	1.000000e-01	1.255120e-01	2.505236e-03	2.505236e-03
1.000000e-01	1.200000e-01	6.585630e-02	1.814699e-03	1.814699e-03
1.200000e-01	1.400000e-01	4.390421e-02	1.481695e-03	1.481695e-03
1.400000e-01	1.600000e-01	2.870276e-02	1.198030e-03	1.198030e-03
1.600000e-01	2.000000e-01	1.525146e-02	6.175137e-04	6.175137e-04
2.000000e-01	3.000000e-01	4.540436e-03	2.130932e-04	2.130932e-04
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d125-x01-y01
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d125-x01-y01
ScaledBy=9.99999999999999955e-07
Title=MG5 LO, No Shr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	1.474480e+02	2.715216e-01	2.715216e-01
2.000000e-03	5.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-03	7.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-03	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	1.500000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
