# BEGIN PLOT
Legend=1
LogY=1
Title=Planarity ($E_\mathrm{CMS}=133$ GeV)
XLabel=$P$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}P$
DrawOnly=/ALEPH_2004_S5765862/d126-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d126-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d126-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d126-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d126-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d126-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d126-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	1.018720e+02	1.204260e+01	1.204260e+01
2.000000e-03	5.000000e-03	4.693510e+01	7.623759e+00	7.623759e+00
5.000000e-03	7.000000e-03	3.614930e+01	6.481747e+00	6.481747e+00
7.000000e-03	1.000000e-02	2.533680e+01	5.769757e+00	5.769757e+00
1.000000e-02	1.500000e-02	1.446240e+01	2.710708e+00	2.710708e+00
1.500000e-02	2.000000e-02	1.296240e+01	2.545317e+00	2.545317e+00
2.000000e-02	3.000000e-02	7.310100e+00	1.343501e+00	1.343501e+00
3.000000e-02	4.000000e-02	4.045300e+00	1.006369e+00	1.006369e+00
4.000000e-02	6.000000e-02	3.158700e+00	6.192987e-01	6.192987e-01
6.000000e-02	8.000000e-02	1.947500e+00	4.555053e-01	4.555053e-01
8.000000e-02	1.000000e-01	1.561100e+00	4.165048e-01	4.165048e-01
1.000000e-01	1.200000e-01	9.796000e-01	3.125162e-01	3.125162e-01
1.200000e-01	1.400000e-01	1.153200e+00	3.361501e-01	3.361501e-01
1.400000e-01	1.600000e-01	6.168000e-01	2.452420e-01	2.452420e-01
1.600000e-01	2.000000e-01	3.293000e-01	1.214706e-01	1.214706e-01
2.000000e-01	3.000000e-01	2.208000e-01	5.880306e-02	5.880306e-02
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d126-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d126-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	9.401940e+01	9.696360e-02	9.696360e-02
2.000000e-03	5.000000e-03	6.340133e+01	6.501350e-02	6.501350e-02
5.000000e-03	7.000000e-03	3.757380e+01	6.129747e-02	6.129747e-02
7.000000e-03	1.000000e-02	2.615420e+01	4.175660e-02	4.175660e-02
1.000000e-02	1.500000e-02	1.710628e+01	2.615820e-02	2.615820e-02
1.500000e-02	2.000000e-02	1.142204e+01	2.137479e-02	2.137479e-02
2.000000e-02	3.000000e-02	7.433880e+00	1.219334e-02	1.219334e-02
3.000000e-02	4.000000e-02	4.751460e+00	9.748292e-03	9.748292e-03
4.000000e-02	6.000000e-02	2.938700e+00	5.420978e-03	5.420978e-03
6.000000e-02	8.000000e-02	1.787190e+00	4.227517e-03	4.227517e-03
8.000000e-02	1.000000e-01	1.209200e+00	3.477355e-03	3.477355e-03
1.000000e-01	1.200000e-01	8.693500e-01	2.948474e-03	2.948474e-03
1.200000e-01	1.400000e-01	6.659100e-01	2.580523e-03	2.580523e-03
1.400000e-01	1.600000e-01	5.219200e-01	2.284557e-03	2.284557e-03
1.600000e-01	2.000000e-01	3.759600e-01	1.371058e-03	1.371058e-03
2.000000e-01	3.000000e-01	1.987640e-01	6.304982e-04	6.304982e-04
# END HISTO1D

