# BEGIN PLOT
Legend=1
LogY=1
Title=Planarity ($E_\mathrm{CMS}=206$ GeV)
XLabel=$P$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}P$
DrawOnly=/ALEPH_2004_S5765862/d132-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d132-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d132-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d132-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NLO-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d132-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d132-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d132-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d132-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d132-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NLO-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d132-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d132-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d132-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d132-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	1.332284e+02	4.492075e+00	4.492075e+00
2.000000e-03	5.000000e-03	5.293350e+01	2.552365e+00	2.552365e+00
5.000000e-03	7.000000e-03	2.727150e+01	1.864086e+00	1.864086e+00
7.000000e-03	1.000000e-02	1.989340e+01	1.650391e+00	1.650391e+00
1.000000e-02	1.500000e-02	1.488810e+01	1.042347e+00	1.042347e+00
1.500000e-02	2.000000e-02	1.010820e+01	8.459628e-01	8.459628e-01
2.000000e-02	3.000000e-02	6.258000e+00	4.996751e-01	4.996751e-01
3.000000e-02	4.000000e-02	4.268500e+00	4.091562e-01	4.091562e-01
4.000000e-02	6.000000e-02	2.725500e+00	2.407695e-01	2.407695e-01
6.000000e-02	8.000000e-02	1.356300e+00	1.961408e-01	1.961408e-01
8.000000e-02	1.000000e-01	1.288200e+00	1.913668e-01	1.913668e-01
1.000000e-01	1.200000e-01	6.747000e-01	1.497472e-01	1.497472e-01
1.200000e-01	1.400000e-01	3.271000e-01	1.172308e-01	1.172308e-01
1.400000e-01	1.600000e-01	8.074000e-01	1.740071e-01	1.740071e-01
1.600000e-01	2.000000e-01	4.211000e-01	9.467296e-02	9.467296e-02
2.000000e-01	3.000000e-01	2.601000e-01	5.432025e-02	5.432025e-02
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d132-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d132-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	1.302139e+02	1.141113e-01	1.141113e-01
2.000000e-03	5.000000e-03	5.934213e+01	6.289787e-02	6.289787e-02
5.000000e-03	7.000000e-03	3.354910e+01	5.792158e-02	5.792158e-02
7.000000e-03	1.000000e-02	2.343267e+01	3.952439e-02	3.952439e-02
1.000000e-02	1.500000e-02	1.530732e+01	2.474455e-02	2.474455e-02
1.500000e-02	2.000000e-02	1.031524e+01	2.031279e-02	2.031279e-02
2.000000e-02	3.000000e-02	6.706700e+00	1.158162e-02	1.158162e-02
3.000000e-02	4.000000e-02	4.300860e+00	9.274546e-03	9.274546e-03
4.000000e-02	6.000000e-02	2.682810e+00	5.179585e-03	5.179585e-03
