# BEGIN PLOT
Legend=1
LogY=1
Title=Sphericity ($E_\mathrm{CMS}=91.2$ GeV)
XLabel=$S$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}S$
DrawOnly=/ALEPH_2004_S5765862/d141-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d141-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d141-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d141-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d141-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d141-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d141-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	1.840388e+01	3.790718e-01	3.790718e-01
2.000000e-02	4.000000e-02	1.033970e+01	2.015456e-01	2.015456e-01
4.000000e-02	6.000000e-02	5.173420e+00	1.061161e-01	1.061161e-01
6.000000e-02	8.000000e-02	3.274990e+00	1.201087e-01	1.201087e-01
8.000000e-02	1.000000e-01	2.276800e+00	8.357204e-02	8.357204e-02
1.000000e-01	1.200000e-01	1.690720e+00	6.323627e-02	6.323627e-02
1.200000e-01	1.400000e-01	1.309300e+00	5.402289e-02	5.402289e-02
1.400000e-01	1.600000e-01	1.056340e+00	4.358664e-02	4.358664e-02
1.600000e-01	1.800000e-01	8.678700e-01	3.760910e-02	3.760910e-02
1.800000e-01	2.000000e-01	7.193400e-01	3.162951e-02	3.162951e-02
2.000000e-01	2.200000e-01	6.065200e-01	2.701566e-02	2.701566e-02
2.200000e-01	2.400000e-01	5.130500e-01	2.543274e-02	2.543274e-02
2.400000e-01	2.600000e-01	4.482800e-01	2.379106e-02	2.379106e-02
2.600000e-01	2.800000e-01	3.961300e-01	2.160740e-02	2.160740e-02
2.800000e-01	3.000000e-01	3.480100e-01	1.916398e-02	1.916398e-02
3.000000e-01	3.200000e-01	3.050400e-01	1.184349e-02	1.184349e-02
3.200000e-01	3.400000e-01	2.644500e-01	1.007891e-02	1.007891e-02
3.400000e-01	3.600000e-01	2.409600e-01	9.525770e-03	9.525770e-03
3.600000e-01	3.800000e-01	2.084100e-01	1.169197e-02	1.169197e-02
3.800000e-01	4.000000e-01	1.976700e-01	1.094843e-02	1.094843e-02
4.000000e-01	4.200000e-01	1.712800e-01	9.643267e-03	9.643267e-03
4.200000e-01	4.400000e-01	1.510000e-01	1.041669e-02	1.041669e-02
4.400000e-01	4.600000e-01	1.330400e-01	1.025329e-02	1.025329e-02
4.600000e-01	4.800000e-01	1.260200e-01	8.707405e-03	8.707405e-03
4.800000e-01	5.000000e-01	1.115800e-01	6.757477e-03	6.757477e-03
5.000000e-01	5.200000e-01	9.804000e-02	6.382053e-03	6.382053e-03
5.200000e-01	5.400000e-01	9.323000e-02	5.705182e-03	5.705182e-03
5.400000e-01	5.600000e-01	8.282000e-02	3.889023e-03	3.889023e-03
5.600000e-01	5.800000e-01	7.071000e-02	3.262652e-03	3.262652e-03
5.800000e-01	6.000000e-01	6.314000e-02	4.053024e-03	4.053024e-03
6.000000e-01	6.200000e-01	5.636000e-02	4.603053e-03	4.603053e-03
6.200000e-01	6.400000e-01	4.932000e-02	4.222819e-03	4.222819e-03
6.400000e-01	6.600000e-01	3.927000e-02	3.379778e-03	3.379778e-03
6.600000e-01	6.800000e-01	3.195000e-02	3.327026e-03	3.327026e-03
6.800000e-01	7.000000e-01	2.652000e-02	3.367996e-03	3.367996e-03
7.000000e-01	7.200000e-01	2.222000e-02	2.562362e-03	2.562362e-03
7.200000e-01	7.400000e-01	1.349000e-02	2.173108e-03	2.173108e-03
7.400000e-01	7.600000e-01	8.690000e-03	1.482498e-03	1.482498e-03
7.600000e-01	7.800000e-01	4.060000e-03	9.792344e-04	9.792344e-04
7.800000e-01	8.000000e-01	2.970000e-03	7.549834e-04	7.549834e-04
8.000000e-01	8.200000e-01	1.900000e-03	5.281098e-04	5.281098e-04
8.200000e-01	8.400000e-01	1.020000e-03	3.624914e-04	3.624914e-04
8.400000e-01	8.600000e-01	2.500000e-04	3.432200e-04	3.432200e-04
8.600000e-01	8.800000e-01	2.100000e-04	3.001666e-04	3.001666e-04
8.800000e-01	9.000000e-01	5.000000e-05	7.348469e-05	7.348469e-05
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d141-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d141-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	1.607038e+01	1.267690e-02	1.267690e-02
2.000000e-02	4.000000e-02	1.118909e+01	1.057785e-02	1.057785e-02
4.000000e-02	6.000000e-02	5.781300e+00	7.603486e-03	7.603486e-03
6.000000e-02	8.000000e-02	3.563990e+00	5.969916e-03	5.969916e-03
8.000000e-02	1.000000e-01	2.452330e+00	4.952101e-03	4.952101e-03
1.000000e-01	1.200000e-01	1.801450e+00	4.244349e-03	4.244349e-03
1.200000e-01	1.400000e-01	1.392610e+00	3.731769e-03	3.731769e-03
1.400000e-01	1.600000e-01	1.093070e+00	3.306161e-03	3.306161e-03
1.600000e-01	1.800000e-01	8.854700e-01	2.975685e-03	2.975685e-03
1.800000e-01	2.000000e-01	7.343700e-01	2.709926e-03	2.709926e-03
2.000000e-01	2.200000e-01	6.184900e-01	2.486946e-03	2.486946e-03
2.200000e-01	2.400000e-01	5.287000e-01	2.299348e-03	2.299348e-03
2.400000e-01	2.600000e-01	4.555200e-01	2.134291e-03	2.134291e-03
2.600000e-01	2.800000e-01	3.942700e-01	1.985623e-03	1.985623e-03
2.800000e-01	3.000000e-01	3.477600e-01	1.864832e-03	1.864832e-03
3.000000e-01	3.200000e-01	3.083300e-01	1.755933e-03	1.755933e-03
3.200000e-01	3.400000e-01	2.711900e-01	1.646785e-03	1.646785e-03
3.400000e-01	3.600000e-01	2.440200e-01	1.562114e-03	1.562114e-03
3.600000e-01	3.800000e-01	2.173900e-01	1.474415e-03	1.474415e-03
3.800000e-01	4.000000e-01	1.963300e-01	1.401178e-03	1.401178e-03
4.000000e-01	4.200000e-01	1.744200e-01	1.320682e-03	1.320682e-03
4.200000e-01	4.400000e-01	1.591100e-01	1.261388e-03	1.261388e-03
4.400000e-01	4.600000e-01	1.443100e-01	1.201291e-03	1.201291e-03
4.600000e-01	4.800000e-01	1.291700e-01	1.136530e-03	1.136530e-03
4.800000e-01	5.000000e-01	1.176900e-01	1.084850e-03	1.084850e-03
5.000000e-01	5.200000e-01	1.069500e-01	1.034166e-03	1.034166e-03
5.200000e-01	5.400000e-01	9.366000e-02	9.677810e-04	9.677810e-04
5.400000e-01	5.600000e-01	8.617000e-02	9.282780e-04	9.282780e-04
5.600000e-01	5.800000e-01	7.726000e-02	8.789767e-04	8.789767e-04
5.800000e-01	6.000000e-01	6.870000e-02	8.288546e-04	8.288546e-04
6.000000e-01	6.200000e-01	6.079000e-02	7.796794e-04	7.796794e-04
6.200000e-01	6.400000e-01	5.347000e-02	7.312318e-04	7.312318e-04
6.400000e-01	6.600000e-01	4.531000e-02	6.731270e-04	6.731270e-04
6.600000e-01	6.800000e-01	3.847000e-02	6.202419e-04	6.202419e-04
6.800000e-01	7.000000e-01	3.106000e-02	5.573150e-04	5.573150e-04
7.000000e-01	7.200000e-01	2.505000e-02	5.004998e-04	5.004998e-04
7.200000e-01	7.400000e-01	1.759000e-02	4.194043e-04	4.194043e-04
7.400000e-01	7.600000e-01	1.080000e-02	3.286335e-04	3.286335e-04
7.600000e-01	7.800000e-01	6.330000e-03	2.515949e-04	2.515949e-04
7.800000e-01	8.000000e-01	3.420000e-03	1.849324e-04	1.849324e-04
8.000000e-01	8.200000e-01	2.030000e-03	1.424781e-04	1.424781e-04
8.200000e-01	8.400000e-01	1.070000e-03	1.034408e-04	1.034408e-04
8.400000e-01	8.600000e-01	6.500000e-04	8.062258e-05	8.062258e-05
8.600000e-01	8.800000e-01	2.600000e-04	5.099020e-05	5.099020e-05
8.800000e-01	9.000000e-01	1.200000e-04	3.464102e-05	3.464102e-05
# END HISTO1D

