# BEGIN PLOT
Legend=1
LogY=1
Title=Durham jet resolution $5 \to 4$ ($E_\mathrm{CMS}=183$ GeV)
XLabel=$-\ln(y_{45})$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\ln(y_{45})$
LegendXPos=0.25
LegendYPos=0.4
DrawOnly=/ALEPH_2004_S5765862/d177-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d177-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d177-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d177-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d177-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d177-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d177-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.400000e+00	3.200000e+00	0.000000e+00	5.000000e-04	5.000000e-04
3.200000e+00	4.000000e+00	6.000000e-04	1.513275e-03	1.513275e-03
4.000000e+00	4.800000e+00	-3.100000e-03	7.998125e-03	7.998125e-03
4.800000e+00	5.600000e+00	1.320000e-02	9.674709e-03	9.674709e-03
5.600000e+00	6.400000e+00	6.790000e-02	1.122586e-02	1.122586e-02
6.400000e+00	7.200000e+00	1.548000e-01	1.372662e-02	1.372662e-02
7.200000e+00	8.000000e+00	3.167000e-01	1.923876e-02	1.923876e-02
8.000000e+00	8.800000e+00	3.477000e-01	2.095042e-02	2.095042e-02
8.800000e+00	9.600000e+00	2.656000e-01	2.064970e-02	2.064970e-02
9.600000e+00	1.040000e+01	7.540000e-02	1.222497e-02	1.222497e-02
1.040000e+01	1.120000e+01	1.030000e-02	7.528612e-03	7.528612e-03
1.120000e+01	1.200000e+01	1.100000e-03	2.720294e-03	2.720294e-03
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d177-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d177-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
2.400000e+00	3.200000e+00	7.500000e-06	1.369306e-06	1.369306e-06
3.200000e+00	4.000000e+00	5.592500e-04	1.182423e-05	1.182423e-05
4.000000e+00	4.800000e+00	5.365000e-03	3.662308e-05	3.662308e-05
4.800000e+00	5.600000e+00	2.372675e-02	7.701745e-05	7.701745e-05
5.600000e+00	6.400000e+00	7.231200e-02	1.344545e-04	1.344545e-04
6.400000e+00	7.200000e+00	1.745103e-01	2.088721e-04	2.088721e-04
7.200000e+00	8.000000e+00	3.191585e-01	2.824706e-04	2.824706e-04
8.000000e+00	8.800000e+00	3.628575e-01	3.011883e-04	3.011883e-04
8.800000e+00	9.600000e+00	2.203698e-01	2.347178e-04	2.347178e-04
9.600000e+00	1.040000e+01	6.275275e-02	1.252525e-04	1.252525e-04
1.040000e+01	1.120000e+01	7.786000e-03	4.411916e-05	4.411916e-05
1.120000e+01	1.200000e+01	5.412500e-04	1.163239e-05	1.163239e-05
# END HISTO1D

