# BEGIN PLOT
Legend=1
LogY=1
Title=Durham jet resolution $6 \to 5$ ($E_\mathrm{CMS}=200$ GeV)
XLabel=$-\ln(y_{56})$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\ln(y_{56})$
LegendXPos=0.25
LegendYPos=0.4
DrawOnly=/ALEPH_2004_S5765862/d186-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d186-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d186-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d186-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NLO-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d186-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d186-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d186-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d186-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d186-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NLO-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d186-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d186-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d186-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d186-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+00	4.800000e+00	-1.600000e-03	2.209072e-03	2.209072e-03
4.800000e+00	5.600000e+00	2.100000e-03	2.692582e-03	2.692582e-03
5.600000e+00	6.400000e+00	2.060000e-02	5.614268e-03	5.614268e-03
6.400000e+00	7.200000e+00	5.220000e-02	7.920859e-03	7.920859e-03
7.200000e+00	8.000000e+00	1.675000e-01	1.202165e-02	1.202165e-02
8.000000e+00	8.800000e+00	3.321000e-01	1.203038e-02	1.203038e-02
8.800000e+00	9.600000e+00	4.098000e-01	1.626038e-02	1.626038e-02
9.600000e+00	1.040000e+01	2.258000e-01	1.501466e-02	1.501466e-02
1.040000e+01	1.120000e+01	3.760000e-02	4.904080e-03	4.904080e-03
1.120000e+01	1.200000e+01	2.500000e-03	1.835756e-03	1.835756e-03
1.200000e+01	1.280000e+01	2.000000e-04	2.236068e-04	2.236068e-04
1.280000e+01	1.360000e+01	4.000000e-04	4.000000e-04	4.000000e-04
1.360000e+01	1.440000e+01	0.000000e+00	3.000000e-04	3.000000e-04
1.440000e+01	1.520000e+01	8.000000e-04	6.708204e-04	6.708204e-04
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d186-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d186-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+00	4.800000e+00	1.825000e-04	6.754628e-06	6.754628e-06
4.800000e+00	5.600000e+00	2.505000e-03	2.502499e-05	2.502499e-05
5.600000e+00	6.400000e+00	1.583000e-02	6.290866e-05	6.290866e-05
6.400000e+00	7.200000e+00	6.507525e-02	1.275493e-04	1.275493e-04
7.200000e+00	8.000000e+00	1.917340e-01	2.189372e-04	2.189372e-04
