# BEGIN PLOT
Legend=1
LogY=1
Title=2-jet fraction ($E_\mathrm{CMS}=133$ GeV)
XLabel=$\log(y_\mathrm{cut})$
YLabel=$\sigma(\mathrm{2~jet})/\sigma(\mathrm{inclusive})$
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d196-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d196-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d196-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d196-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d196-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d196-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d196-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-3.900000e+00	-3.700000e+00	2.200000e-03	2.641969e-03	2.641969e-03
-3.700000e+00	-3.500000e+00	8.600000e-03	5.603570e-03	5.603570e-03
-3.500000e+00	-3.300000e+00	3.280000e-02	9.192388e-03	9.192388e-03
-3.300000e+00	-3.100000e+00	1.012000e-01	1.620987e-02	1.620987e-02
-3.100000e+00	-2.900000e+00	1.954000e-01	2.252843e-02	2.252843e-02
-2.900000e+00	-2.700000e+00	2.781000e-01	2.681287e-02	2.681287e-02
-2.700000e+00	-2.500000e+00	3.668000e-01	3.036610e-02	3.036610e-02
-2.500000e+00	-2.300000e+00	4.679000e-01	3.419766e-02	3.419766e-02
-2.300000e+00	-2.100000e+00	5.473000e-01	3.692709e-02	3.692709e-02
-2.100000e+00	-1.900000e+00	6.565000e-01	4.044750e-02	4.044750e-02
-1.900000e+00	-1.700000e+00	7.261000e-01	4.306100e-02	4.306100e-02
-1.700000e+00	-1.500000e+00	7.928000e-01	4.483325e-02	4.483325e-02
-1.500000e+00	-1.300000e+00	8.723000e-01	4.664000e-02	4.664000e-02
-1.300000e+00	-1.100000e+00	9.236000e-01	4.765428e-02	4.765428e-02
-1.100000e+00	-9.000000e-01	9.645000e-01	4.873541e-02	4.873541e-02
-9.000000e-01	-7.000000e-01	9.902000e-01	4.950253e-02	4.950253e-02
-7.000000e-01	-5.000000e-01	1.000000e+00	5.040198e-02	5.040198e-02
-5.000000e-01	-3.000000e-01	1.000000e+00	5.211679e-02	5.211679e-02
-3.000000e-01	-1.000000e-01	9.733000e-01	5.025734e-02	5.025734e-02
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d196-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d196-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
-3.900000e+00	-3.700000e+00	2.009400e-03	2.004694e-05	2.004694e-05
-3.700000e+00	-3.500000e+00	8.209800e-03	4.052111e-05	4.052111e-05
-3.500000e+00	-3.300000e+00	2.608500e-02	7.222880e-05	7.222880e-05
-3.300000e+00	-3.100000e+00	6.518420e-02	1.141790e-04	1.141790e-04
-3.100000e+00	-2.900000e+00	1.315168e-01	1.621831e-04	1.621831e-04
-2.900000e+00	-2.700000e+00	2.211438e-01	2.103063e-04	2.103063e-04
-2.700000e+00	-2.500000e+00	3.220626e-01	2.537962e-04	2.537962e-04
-2.500000e+00	-2.300000e+00	4.225588e-01	2.907090e-04	2.907090e-04
-2.300000e+00	-2.100000e+00	5.183395e-01	3.219751e-04	3.219751e-04
-2.100000e+00	-1.900000e+00	6.082685e-01	3.487889e-04	3.487889e-04
-1.900000e+00	-1.700000e+00	6.917375e-01	3.719509e-04	3.719509e-04
-1.700000e+00	-1.500000e+00	7.669690e-01	3.916553e-04	3.916553e-04
-1.500000e+00	-1.300000e+00	8.327340e-01	4.081014e-04	4.081014e-04
-1.300000e+00	-1.100000e+00	8.881680e-01	4.214661e-04	4.214661e-04
-1.100000e+00	-9.000000e-01	9.324395e-01	4.318424e-04	4.318424e-04
-9.000000e-01	-7.000000e-01	9.659430e-01	4.395323e-04	4.395323e-04
-7.000000e-01	-5.000000e-01	9.890910e-01	4.447676e-04	4.447676e-04
-5.000000e-01	-3.000000e-01	9.999435e-01	4.472010e-04	4.472010e-04
-3.000000e-01	-1.000000e-01	9.953155e-01	4.461649e-04	4.461649e-04
# END HISTO1D

