# BEGIN PLOT
Legend=1
LogY=1
Title=4-jet fraction ($E_\mathrm{CMS}=91.2$ GeV)
XLabel=$\ln(y_\mathrm{cut})$
YLabel=$\sigma(\mathrm{4~jet})/\sigma(\mathrm{inclusive})$
LegendXPos=0.15
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d211-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d211-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d211-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d211-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d211-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d211-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d211-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+01	-9.800000e+00	1.480000e-03	8.240146e-04	8.240146e-04
-9.800000e+00	-9.600000e+00	2.550000e-03	9.009994e-04	9.009994e-04
-9.600000e+00	-9.400000e+00	4.800000e-03	9.089004e-04	9.089004e-04
-9.400000e+00	-9.200000e+00	9.180000e-03	8.094443e-04	8.094443e-04
-9.200000e+00	-9.000000e+00	1.735000e-02	8.637708e-04	8.637708e-04
-9.000000e+00	-8.800000e+00	3.100000e-02	1.209752e-03	1.209752e-03
-8.800000e+00	-8.600000e+00	5.176000e-02	2.261017e-03	2.261017e-03
-8.600000e+00	-8.400000e+00	8.015000e-02	3.441453e-03	3.441453e-03
-8.400000e+00	-8.200000e+00	1.149800e-01	5.068047e-03	5.068047e-03
-8.200000e+00	-8.000000e+00	1.543800e-01	6.116780e-03	6.116780e-03
-8.000000e+00	-7.800000e+00	1.937200e-01	4.914387e-03	4.914387e-03
-7.800000e+00	-7.600000e+00	2.318000e-01	5.076475e-03	5.076475e-03
-7.600000e+00	-7.400000e+00	2.628600e-01	4.293646e-03	4.293646e-03
-7.400000e+00	-7.200000e+00	2.856000e-01	3.093186e-03	3.093186e-03
-7.200000e+00	-7.000000e+00	2.973200e-01	3.815888e-03	3.815888e-03
-7.000000e+00	-6.800000e+00	2.974600e-01	5.983018e-03	5.983018e-03
-6.800000e+00	-6.600000e+00	2.854600e-01	8.496888e-03	8.496888e-03
-6.600000e+00	-6.400000e+00	2.656000e-01	8.928578e-03	8.928578e-03
-6.400000e+00	-6.200000e+00	2.402100e-01	9.026461e-03	9.026461e-03
-6.200000e+00	-6.000000e+00	2.123400e-01	8.574165e-03	8.574165e-03
-6.000000e+00	-5.800000e+00	1.830300e-01	8.130621e-03	8.130621e-03
-5.800000e+00	-5.600000e+00	1.555000e-01	7.838042e-03	7.838042e-03
-5.600000e+00	-5.400000e+00	1.300100e-01	6.907510e-03	6.907510e-03
-5.400000e+00	-5.200000e+00	1.077000e-01	5.774686e-03	5.774686e-03
-5.200000e+00	-5.000000e+00	8.787000e-02	4.935028e-03	4.935028e-03
-5.000000e+00	-4.800000e+00	7.069000e-02	3.627148e-03	3.627148e-03
-4.800000e+00	-4.600000e+00	5.611000e-02	2.799393e-03	2.799393e-03
-4.600000e+00	-4.400000e+00	4.369000e-02	2.118348e-03	2.118348e-03
-4.400000e+00	-4.200000e+00	3.322000e-02	1.596559e-03	1.596559e-03
-4.200000e+00	-4.000000e+00	2.450000e-02	1.154210e-03	1.154210e-03
-4.000000e+00	-3.800000e+00	1.741000e-02	8.052950e-04	8.052950e-04
-3.800000e+00	-3.600000e+00	1.205000e-02	6.029925e-04	6.029925e-04
-3.600000e+00	-3.400000e+00	7.780000e-03	4.781213e-04	4.781213e-04
-3.400000e+00	-3.200000e+00	4.730000e-03	2.807134e-04	2.807134e-04
-3.200000e+00	-3.000000e+00	2.620000e-03	1.878829e-04	1.878829e-04
-3.000000e+00	-2.800000e+00	1.270000e-03	1.846619e-04	1.846619e-04
-2.800000e+00	-2.600000e+00	5.700000e-04	1.178983e-04	1.178983e-04
-2.600000e+00	-2.400000e+00	2.000000e-04	6.000000e-05	6.000000e-05
-2.400000e+00	-2.200000e+00	7.000000e-05	1.732051e-05	1.732051e-05
-2.200000e+00	-2.000000e+00	1.000000e-05	1.414214e-05	1.414214e-05
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d211-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
