# BEGIN PLOT
Legend=1
LogY=1
Title=4-jet fraction ($E_\mathrm{CMS}=172$ GeV)
XLabel=$\log(y_\mathrm{cut})$
YLabel=$\sigma(\mathrm{4~jet})/\sigma(\mathrm{inclusive})$
LegendXPos=0.35
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d214-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d214-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d214-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d214-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d214-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d214-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d214-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-4.900000e+00	-4.700000e+00	5.700000e-03	2.643823e-02	2.643823e-02
-4.700000e+00	-4.500000e+00	6.500000e-03	1.376154e-02	1.376154e-02
-4.300000e+00	-4.100000e+00	1.310000e-02	1.100227e-02	1.100227e-02
-4.100000e+00	-3.900000e+00	9.560000e-02	3.112379e-02	3.112379e-02
-3.900000e+00	-3.700000e+00	1.789000e-01	4.613394e-02	4.613394e-02
-3.700000e+00	-3.500000e+00	2.618000e-01	5.166982e-02	5.166982e-02
-3.500000e+00	-3.300000e+00	2.944000e-01	5.361735e-02	5.361735e-02
-3.300000e+00	-3.100000e+00	2.507000e-01	4.702393e-02	4.702393e-02
-3.100000e+00	-2.900000e+00	1.946000e-01	4.315854e-02	4.315854e-02
-2.900000e+00	-2.700000e+00	1.866000e-01	4.290105e-02	4.290105e-02
-2.700000e+00	-2.500000e+00	1.608000e-01	4.712505e-02	4.712505e-02
-2.500000e+00	-2.300000e+00	1.123000e-01	4.146625e-02	4.146625e-02
-2.300000e+00	-2.100000e+00	4.790000e-02	2.792938e-02	2.792938e-02
-2.100000e+00	-1.900000e+00	2.460000e-02	2.058009e-02	2.058009e-02
-1.900000e+00	-1.700000e+00	2.850000e-02	2.452835e-02	2.452835e-02
-1.700000e+00	-1.500000e+00	1.410000e-02	2.272290e-02	2.272290e-02
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d214-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d214-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
-4.900000e+00	-4.700000e+00	2.696000e-04	7.343024e-06	7.343024e-06
-4.700000e+00	-4.500000e+00	1.208000e-03	1.554349e-05	1.554349e-05
-4.300000e+00	-4.100000e+00	1.882840e-02	6.136514e-05	6.136514e-05
-4.100000e+00	-3.900000e+00	5.306540e-02	1.030198e-04	1.030198e-04
-3.900000e+00	-3.700000e+00	1.140490e-01	1.510291e-04	1.510291e-04
-3.700000e+00	-3.500000e+00	1.907832e-01	1.953373e-04	1.953373e-04
-3.500000e+00	-3.300000e+00	2.547972e-01	2.257420e-04	2.257420e-04
-3.300000e+00	-3.100000e+00	2.827748e-01	2.378128e-04	2.378128e-04
-3.100000e+00	-2.900000e+00	2.713938e-01	2.329780e-04	2.329780e-04
-2.900000e+00	-2.700000e+00	2.333230e-01	2.160199e-04	2.160199e-04
-2.700000e+00	-2.500000e+00	1.852446e-01	1.924810e-04	1.924810e-04
-2.500000e+00	-2.300000e+00	1.369622e-01	1.655066e-04	1.655066e-04
-2.300000e+00	-2.100000e+00	9.385060e-02	1.370041e-04	1.370041e-04
-2.100000e+00	-1.900000e+00	5.877900e-02	1.084242e-04	1.084242e-04
-1.900000e+00	-1.700000e+00	3.307180e-02	8.132872e-05	8.132872e-05
-1.700000e+00	-1.500000e+00	1.615160e-02	5.683590e-05	5.683590e-05
# END HISTO1D

