# BEGIN PLOT
Legend=1
LogY=1
Title=5-jet fraction ($E_\mathrm{CMS}=206$ GeV)
XLabel=$\log(y_\mathrm{cut})$
YLabel=$\sigma(\mathrm{5~jet})/\sigma(\mathrm{inclusive})$
LegendXPos=0.35
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d226-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d226-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d226-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d226-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NLO-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d226-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d226-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d226-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d226-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d226-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NLO-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d226-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d226-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d226-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d226-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.100000e+00	-4.900000e+00	6.000000e-04	1.063015e-03	1.063015e-03
-4.900000e+00	-4.700000e+00	2.900000e-03	1.664332e-03	1.664332e-03
-4.700000e+00	-4.500000e+00	1.520000e-02	3.352611e-03	3.352611e-03
-4.500000e+00	-4.300000e+00	5.450000e-02	6.403124e-03	6.403124e-03
-4.300000e+00	-4.100000e+00	1.231000e-01	1.000900e-02	1.000900e-02
-4.100000e+00	-3.900000e+00	1.845000e-01	1.222497e-02	1.222497e-02
-3.900000e+00	-3.700000e+00	2.229000e-01	1.315751e-02	1.315751e-02
-3.700000e+00	-3.500000e+00	2.172000e-01	1.271220e-02	1.271220e-02
-3.500000e+00	-3.300000e+00	1.666000e-01	1.280156e-02	1.280156e-02
-3.300000e+00	-3.100000e+00	1.339000e-01	1.198874e-02	1.198874e-02
-3.100000e+00	-2.900000e+00	8.800000e-02	1.004988e-02	1.004988e-02
-2.900000e+00	-2.700000e+00	5.730000e-02	7.783315e-03	7.783315e-03
-2.700000e+00	-2.500000e+00	3.380000e-02	6.539113e-03	6.539113e-03
-2.500000e+00	-2.300000e+00	1.250000e-02	4.882622e-03	4.882622e-03
-2.300000e+00	-2.100000e+00	2.200000e-03	2.920616e-03	2.920616e-03
-2.100000e+00	-1.900000e+00	5.000000e-04	2.692582e-03	2.692582e-03
-1.900000e+00	-1.700000e+00	3.800000e-03	5.597321e-03	5.597321e-03
-1.700000e+00	-1.500000e+00	1.100000e-03	6.209670e-03	6.209670e-03
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d226-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d226-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
