# BEGIN PLOT
Legend=1
LogY=1
Title=Charged particle spectrum ($E_\mathrm{CMS}=189$ GeV)
XLabel=$x_E$
YLabel=$1/\sigma \, \mathrm{d}{\sigma}/\mathrm{d}{x_E}$
FullRange=1
DrawOnly=/ALEPH_2004_S5765862/d23-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d23-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d23-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d23-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d23-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d23-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d23-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	2.000000e-02	5.419556e+02	6.116706e+00	6.116706e+00
2.000000e-02	3.000000e-02	3.091765e+02	4.157051e+00	4.157051e+00
3.000000e-02	4.000000e-02	2.046602e+02	3.096341e+00	3.096341e+00
4.000000e-02	5.000000e-02	1.461837e+02	2.549154e+00	2.549154e+00
5.000000e-02	6.000000e-02	1.118220e+02	2.181681e+00	2.181681e+00
6.000000e-02	7.000000e-02	8.479710e+01	1.893172e+00	1.893172e+00
7.000000e-02	8.000000e-02	6.972320e+01	1.663117e+00	1.663117e+00
8.000000e-02	9.000000e-02	5.485900e+01	1.484477e+00	1.484477e+00
9.000000e-02	1.000000e-01	4.566300e+01	1.336156e+00	1.336156e+00
1.000000e-01	1.200000e-01	3.702100e+01	8.573256e-01	8.573256e-01
1.200000e-01	1.400000e-01	2.691140e+01	7.282976e-01	7.282976e-01
1.400000e-01	1.600000e-01	2.054960e+01	6.419115e-01	6.419115e-01
1.600000e-01	1.800000e-01	1.555480e+01	5.512467e-01	5.512467e-01
1.800000e-01	2.000000e-01	1.143140e+01	4.635232e-01	4.635232e-01
2.000000e-01	2.500000e-01	8.300800e+00	2.531275e-01	2.531275e-01
2.500000e-01	3.000000e-01	4.772500e+00	1.957274e-01	1.957274e-01
3.000000e-01	4.000000e-01	2.652600e+00	1.001007e-01	1.001007e-01
4.000000e-01	5.000000e-01	1.000700e+00	6.344667e-02	6.344667e-02
5.000000e-01	6.000000e-01	4.456000e-01	3.975550e-02	3.975550e-02
6.000000e-01	7.000000e-01	2.068000e-01	2.806083e-02	2.806083e-02
7.000000e-01	8.000000e-01	6.290000e-02	1.557241e-02	1.557241e-02
8.000000e-01	1.000000e+00	2.200000e-02	4.588028e-03	4.588028e-03
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d23-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d23-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	2.000000e-02	5.244816e+02	1.024189e-01	1.024189e-01
2.000000e-02	3.000000e-02	2.994388e+02	7.738718e-02	7.738718e-02
3.000000e-02	4.000000e-02	1.975831e+02	6.286225e-02	6.286225e-02
4.000000e-02	5.000000e-02	1.410949e+02	5.312155e-02	5.312155e-02
5.000000e-02	6.000000e-02	1.059634e+02	4.603552e-02	4.603552e-02
6.000000e-02	7.000000e-02	8.237488e+01	4.058938e-02	4.058938e-02
7.000000e-02	8.000000e-02	6.577000e+01	3.626844e-02	3.626844e-02
8.000000e-02	9.000000e-02	5.377938e+01	3.279616e-02	3.279616e-02
9.000000e-02	1.000000e-01	4.471336e+01	2.990430e-02	2.990430e-02
1.000000e-01	1.200000e-01	3.508269e+01	1.873038e-02	1.873038e-02
1.200000e-01	1.400000e-01	2.601764e+01	1.612999e-02	1.612999e-02
1.400000e-01	1.600000e-01	1.992083e+01	1.411412e-02	1.411412e-02
1.600000e-01	1.800000e-01	1.558112e+01	1.248244e-02	1.248244e-02
1.800000e-01	2.000000e-01	1.239023e+01	1.113114e-02	1.113114e-02
2.000000e-01	2.500000e-01	8.632036e+00	5.876065e-03	5.876065e-03
2.500000e-01	3.000000e-01	5.317616e+00	4.611991e-03	4.611991e-03
3.000000e-01	4.000000e-01	2.800466e+00	2.366629e-03	2.366629e-03
4.000000e-01	5.000000e-01	1.201436e+00	1.550120e-03	1.550120e-03
5.000000e-01	6.000000e-01	5.163720e-01	1.016240e-03	1.016240e-03
6.000000e-01	7.000000e-01	2.133240e-01	6.531830e-04	6.531830e-04
7.000000e-01	8.000000e-01	8.013200e-02	4.003299e-04	4.003299e-04
8.000000e-01	1.000000e+00	1.345500e-02	1.159957e-04	1.159957e-04
# END HISTO1D

