# BEGIN PLOT
Legend=1
LogY=1
Title=$\geq$6-jet fraction ($E_\mathrm{CMS}=189$ GeV)
XLabel=$\log(y_\mathrm{cut})$
YLabel=$\sigma(\geq\mathrm{6~jet})/\sigma(\mathrm{inclusive})$
LegendXPos=0.05
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d232-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d232-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d232-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d232-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d232-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d232-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d232-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.100000e+00	-4.900000e+00	9.992000e-01	2.733807e-02	2.733807e-02
-4.900000e+00	-4.700000e+00	9.962000e-01	2.733807e-02	2.733807e-02
-4.700000e+00	-4.500000e+00	9.852000e-01	2.725234e-02	2.725234e-02
-4.500000e+00	-4.300000e+00	9.416000e-01	2.650000e-02	2.650000e-02
-4.300000e+00	-4.100000e+00	8.342000e-01	2.528715e-02	2.528715e-02
-4.100000e+00	-3.900000e+00	6.800000e-01	2.328798e-02	2.328798e-02
-3.900000e+00	-3.700000e+00	4.884000e-01	2.205312e-02	2.205312e-02
-3.700000e+00	-3.500000e+00	3.020000e-01	2.220360e-02	2.220360e-02
-3.500000e+00	-3.300000e+00	1.711000e-01	1.889868e-02	1.889868e-02
-3.300000e+00	-3.100000e+00	7.750000e-02	1.088531e-02	1.088531e-02
-3.100000e+00	-2.900000e+00	4.120000e-02	7.615773e-03	7.615773e-03
-2.900000e+00	-2.700000e+00	1.510000e-02	4.535416e-03	4.535416e-03
-2.700000e+00	-2.500000e+00	4.000000e-03	2.731300e-03	2.731300e-03
-2.500000e+00	-2.300000e+00	1.000000e-03	1.664332e-03	1.664332e-03
-2.300000e+00	-2.100000e+00	1.800000e-03	5.147815e-03	5.147815e-03
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d232-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d232-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
-5.100000e+00	-4.900000e+00	9.994330e-01	4.470868e-04	4.470868e-04
-4.900000e+00	-4.700000e+00	9.975750e-01	4.466710e-04	4.466710e-04
-4.700000e+00	-4.500000e+00	9.899785e-01	4.449671e-04	4.449671e-04
-4.500000e+00	-4.300000e+00	9.647450e-01	4.392595e-04	4.392595e-04
-4.300000e+00	-4.100000e+00	9.019415e-01	4.247214e-04	4.247214e-04
-4.100000e+00	-3.900000e+00	7.844285e-01	3.960880e-04	3.960880e-04
-3.900000e+00	-3.700000e+00	6.165685e-01	3.511605e-04	3.511605e-04
-3.700000e+00	-3.500000e+00	4.298834e-01	2.932178e-04	2.932178e-04
-3.500000e+00	-3.300000e+00	2.630578e-01	2.293721e-04	2.293721e-04
-3.300000e+00	-3.100000e+00	1.413454e-01	1.681341e-04	1.681341e-04
-3.100000e+00	-2.900000e+00	6.743380e-02	1.161325e-04	1.161325e-04
-2.900000e+00	-2.700000e+00	2.895020e-02	7.609231e-05	7.609231e-05
-2.700000e+00	-2.500000e+00	1.102260e-02	4.695232e-05	4.695232e-05
-2.500000e+00	-2.300000e+00	3.639200e-03	2.697851e-05	2.697851e-05
-2.300000e+00	-2.100000e+00	9.648000e-04	1.389100e-05	1.389100e-05
# END HISTO1D

