# BEGIN PLOT
Legend=1
LogY=1
Title=In-plane $p_\perp$ in GeV w.r.t. thrust axes ($E_\mathrm{CMS}=161$ GeV)
XLabel=$p_\perp^\mathrm{in}$ / GeV
YLabel=$N \, \mathrm{d}{\sigma}/\mathrm{d}{p_\perp^\mathrm{in}}$
FullRange=1
DrawOnly=/ALEPH_2004_S5765862/d28-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d28-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d28-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d28-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d28-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d28-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d28-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	5.920000e+01	2.732668e+00	2.732668e+00
5.000000e-02	1.000000e-01	5.510000e+01	2.437971e+00	2.437971e+00
1.000000e-01	1.500000e-01	4.900000e+01	2.297731e+00	2.297731e+00
1.500000e-01	2.000000e-01	3.970000e+01	1.901065e+00	1.901065e+00
2.000000e-01	2.500000e-01	3.360000e+01	1.760633e+00	1.760633e+00
2.500000e-01	3.000000e-01	2.880000e+01	1.602632e+00	1.602632e+00
3.000000e-01	3.500000e-01	2.580000e+01	1.488094e+00	1.488094e+00
3.500000e-01	4.000000e-01	2.050000e+01	1.231756e+00	1.231756e+00
4.000000e-01	4.500000e-01	1.710000e+01	1.252814e+00	1.252814e+00
4.500000e-01	5.000000e-01	1.740000e+01	1.253968e+00	1.253968e+00
5.000000e-01	6.000000e-01	1.430000e+01	7.780034e-01	7.780034e-01
6.000000e-01	7.000000e-01	1.100000e+01	7.640242e-01	7.640242e-01
7.000000e-01	8.000000e-01	9.410000e+00	6.538517e-01	6.538517e-01
8.000000e-01	1.000000e+00	6.610000e+00	3.857767e-01	3.857767e-01
1.000000e+00	1.200000e+00	4.500000e+00	3.304610e-01	3.304610e-01
1.200000e+00	1.400000e+00	3.650000e+00	3.253014e-01	3.253014e-01
1.400000e+00	1.600000e+00	3.030000e+00	2.807134e-01	2.807134e-01
1.600000e+00	1.800000e+00	1.940000e+00	2.114359e-01	2.114359e-01
1.800000e+00	2.000000e+00	1.800000e+00	2.299901e-01	2.299901e-01
2.000000e+00	2.500000e+00	1.050000e+00	1.213462e-01	1.213462e-01
2.500000e+00	3.000000e+00	7.320000e-01	9.398425e-02	9.398425e-02
3.000000e+00	3.500000e+00	5.240000e-01	8.425912e-02	8.425912e-02
3.500000e+00	4.000000e+00	2.530000e-01	5.660830e-02	5.660830e-02
4.000000e+00	5.000000e+00	1.970000e-01	3.418559e-02	3.418559e-02
5.000000e+00	6.000000e+00	6.630000e-02	1.988610e-02	1.988610e-02
6.000000e+00	7.000000e+00	6.300000e-02	1.893606e-02	1.893606e-02
7.000000e+00	8.000000e+00	3.140000e-02	1.483322e-02	1.483322e-02
8.000000e+00	1.000000e+01	1.620000e-02	6.562500e-03	6.562500e-03
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d28-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d28-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	4.795228e+01	1.384952e-02	1.384952e-02
5.000000e-02	1.000000e-01	4.738260e+01	1.376700e-02	1.376700e-02
1.000000e-01	1.500000e-01	4.289474e+01	1.309882e-02	1.309882e-02
1.500000e-01	2.000000e-01	3.787792e+01	1.230901e-02	1.230901e-02
2.000000e-01	2.500000e-01	3.305042e+01	1.149790e-02	1.149790e-02
2.500000e-01	3.000000e-01	2.871406e+01	1.071710e-02	1.071710e-02
3.000000e-01	3.500000e-01	2.487536e+01	9.975041e-03	9.975041e-03
3.500000e-01	4.000000e-01	2.157736e+01	9.290287e-03	9.290287e-03
4.000000e-01	4.500000e-01	1.879566e+01	8.670792e-03	8.670792e-03
4.500000e-01	5.000000e-01	1.644319e+01	8.110041e-03	8.110041e-03
5.000000e-01	6.000000e-01	1.362458e+01	5.220074e-03	5.220074e-03
6.000000e-01	7.000000e-01	1.076028e+01	4.639027e-03	4.639027e-03
