# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity w.r.t. thrust axes, $y_T$ ($E_\mathrm{CMS}=172$ GeV)
XLabel=$y_T$
YLabel=$N \, \mathrm{d}{\sigma}/\mathrm{d}{y_T}$
FullRange=1
LegendXPos=0.05
LegendYPos=0.2
DrawOnly=/ALEPH_2004_S5765862/d38-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d38-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d38-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d38-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d38-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d38-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d38-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	7.542500e+00	7.675982e-01	7.675982e-01
2.500000e-01	5.000000e-01	8.207900e+00	8.646778e-01	8.646778e-01
5.000000e-01	7.500000e-01	7.997800e+00	7.887428e-01	7.887428e-01
7.500000e-01	1.000000e+00	9.479600e+00	7.590933e-01	7.590933e-01
1.000000e+00	1.250000e+00	7.102500e+00	5.907692e-01	5.907692e-01
1.250000e+00	1.500000e+00	7.624100e+00	5.874057e-01	5.874057e-01
1.500000e+00	1.750000e+00	7.614100e+00	5.087711e-01	5.087711e-01
1.750000e+00	2.000000e+00	7.251800e+00	4.881779e-01	4.881779e-01
2.000000e+00	2.250000e+00	6.977500e+00	4.407217e-01	4.407217e-01
2.250000e+00	2.500000e+00	6.244400e+00	4.095290e-01	4.095290e-01
2.500000e+00	2.750000e+00	6.040000e+00	3.641311e-01	3.641311e-01
2.750000e+00	3.000000e+00	5.055800e+00	3.025436e-01	3.025436e-01
3.000000e+00	3.250000e+00	4.745700e+00	3.196878e-01	3.196878e-01
3.250000e+00	3.500000e+00	4.252900e+00	3.165159e-01	3.165159e-01
3.500000e+00	3.750000e+00	2.987100e+00	2.583017e-01	2.583017e-01
3.750000e+00	4.000000e+00	2.480600e+00	2.405525e-01	2.405525e-01
4.000000e+00	4.250000e+00	1.638400e+00	1.833829e-01	1.833829e-01
4.250000e+00	4.500000e+00	1.034600e+00	1.673792e-01	1.673792e-01
4.500000e+00	5.000000e+00	4.902000e-01	8.133204e-02	8.133204e-02
5.000000e+00	5.500000e+00	2.423000e-01	4.928458e-02	4.928458e-02
5.500000e+00	6.000000e+00	2.200000e-02	1.878324e-02	1.878324e-02
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d38-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d38-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	7.180256e+00	2.396707e-03	2.396707e-03
2.500000e-01	5.000000e-01	7.651140e+00	2.474048e-03	2.474048e-03
5.000000e-01	7.500000e-01	7.807368e+00	2.499179e-03	2.499179e-03
7.500000e-01	1.000000e+00	7.773640e+00	2.493775e-03	2.493775e-03
1.000000e+00	1.250000e+00	7.655596e+00	2.474768e-03	2.474768e-03
1.250000e+00	1.500000e+00	7.469872e+00	2.444565e-03	2.444565e-03
1.500000e+00	1.750000e+00	7.234364e+00	2.405721e-03	2.405721e-03
1.750000e+00	2.000000e+00	6.961716e+00	2.359952e-03	2.359952e-03
2.000000e+00	2.250000e+00	6.639032e+00	2.304610e-03	2.304610e-03
2.250000e+00	2.500000e+00	6.277428e+00	2.240969e-03	2.240969e-03
2.500000e+00	2.750000e+00	5.843368e+00	2.162104e-03	2.162104e-03
2.750000e+00	3.000000e+00	5.307032e+00	2.060492e-03	2.060492e-03
3.000000e+00	3.250000e+00	4.667992e+00	1.932458e-03	1.932458e-03
3.250000e+00	3.500000e+00	3.916388e+00	1.770059e-03	1.770059e-03
3.500000e+00	3.750000e+00	3.120386e+00	1.579971e-03	1.579971e-03
3.750000e+00	4.000000e+00	2.340635e+00	1.368396e-03	1.368396e-03
4.000000e+00	4.250000e+00	1.635041e+00	1.143693e-03	1.143693e-03
4.250000e+00	4.500000e+00	1.058270e+00	9.201176e-04	9.201176e-04
4.500000e+00	5.000000e+00	5.038024e-01	4.489109e-04	4.489109e-04
5.000000e+00	5.500000e+00	1.485632e-01	2.437730e-04	2.437730e-04
5.500000e+00	6.000000e+00	3.444440e-02	1.173787e-04	1.173787e-04
# END HISTO1D

