# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity w.r.t. sphericity axes, $y_S$ ($E_\mathrm{CMS}=200$ GeV)
XLabel=$y_S$
YLabel=$N \, \mathrm{d}{\sigma}/\mathrm{d}{y_S}$
FullRange=1
LegendXPos=0.05
LegendYPos=0.2
DrawOnly=/ALEPH_2004_S5765862/d50-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d50-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d50-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d50-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d50-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d50-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d50-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	7.703700e+00	3.977673e-01	3.977673e-01
2.500000e-01	5.000000e-01	7.529800e+00	3.543743e-01	3.543743e-01
5.000000e-01	7.500000e-01	8.061800e+00	3.214142e-01	3.214142e-01
7.500000e-01	1.000000e+00	7.736800e+00	2.706968e-01	2.706968e-01
1.000000e+00	1.250000e+00	8.296400e+00	2.569598e-01	2.569598e-01
1.250000e+00	1.500000e+00	8.087800e+00	2.226990e-01	2.226990e-01
1.500000e+00	1.750000e+00	7.565900e+00	2.034112e-01	2.034112e-01
1.750000e+00	2.000000e+00	7.364700e+00	1.824665e-01	1.824665e-01
2.000000e+00	2.250000e+00	7.368300e+00	1.789161e-01	1.789161e-01
2.250000e+00	2.500000e+00	7.246900e+00	1.700196e-01	1.700196e-01
2.500000e+00	2.750000e+00	6.701500e+00	1.537968e-01	1.537968e-01
2.750000e+00	3.000000e+00	5.946400e+00	1.412810e-01	1.412810e-01
3.000000e+00	3.250000e+00	5.307700e+00	1.328525e-01	1.328525e-01
3.250000e+00	3.500000e+00	4.360000e+00	1.206763e-01	1.206763e-01
3.500000e+00	3.750000e+00	3.532200e+00	1.129393e-01	1.129393e-01
3.750000e+00	4.000000e+00	2.670700e+00	9.406051e-02	9.406051e-02
4.000000e+00	4.250000e+00	1.881100e+00	7.880996e-02	7.880996e-02
4.250000e+00	4.500000e+00	1.423300e+00	6.753880e-02	6.753880e-02
4.500000e+00	5.000000e+00	6.464000e-01	3.250877e-02	3.250877e-02
5.000000e+00	5.500000e+00	2.334000e-01	1.870027e-02	1.870027e-02
5.500000e+00	6.000000e+00	6.690000e-02	9.976472e-03	9.976472e-03
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d50-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d50-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	8.440444e+00	2.598529e-03	2.598529e-03
2.500000e-01	5.000000e-01	8.228252e+00	2.565658e-03	2.565658e-03
5.000000e-01	7.500000e-01	8.061424e+00	2.539516e-03	2.539516e-03
7.500000e-01	1.000000e+00	7.911832e+00	2.515843e-03	2.515843e-03
1.000000e+00	1.250000e+00	7.747808e+00	2.489628e-03	2.489628e-03
1.250000e+00	1.500000e+00	7.557488e+00	2.458860e-03	2.458860e-03
1.500000e+00	1.750000e+00	7.337476e+00	2.422805e-03	2.422805e-03
1.750000e+00	2.000000e+00	7.092916e+00	2.382086e-03	2.382086e-03
2.000000e+00	2.250000e+00	6.809308e+00	2.333977e-03	2.333977e-03
2.250000e+00	2.500000e+00	6.489752e+00	2.278552e-03	2.278552e-03
2.500000e+00	2.750000e+00	6.102004e+00	2.209435e-03	2.209435e-03
2.750000e+00	3.000000e+00	5.615768e+00	2.119579e-03	2.119579e-03
3.000000e+00	3.250000e+00	4.988316e+00	1.997662e-03	1.997662e-03
3.250000e+00	3.500000e+00	4.238316e+00	1.841372e-03	1.841372e-03
3.500000e+00	3.750000e+00	3.424714e+00	1.655225e-03	1.655225e-03
3.750000e+00	4.000000e+00	2.613032e+00	1.445830e-03	1.445830e-03
4.000000e+00	4.250000e+00	1.883406e+00	1.227487e-03	1.227487e-03
4.250000e+00	4.500000e+00	1.267367e+00	1.006923e-03	1.006923e-03
4.500000e+00	5.000000e+00	6.452984e-01	5.080545e-04	5.080545e-04
5.000000e+00	5.500000e+00	2.146312e-01	2.930059e-04	2.930059e-04
5.500000e+00	6.000000e+00	5.991160e-02	1.548052e-04	1.548052e-04
# END HISTO1D

