# BEGIN PLOT
Legend=1
LogY=1
Title=Thrust ($E_\mathrm{CMS}=206$ GeV)
XLabel=$1-T$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}(1-T)$
LegendYPos=0.8
DrawOnly=/ALEPH_2004_S5765862/d61-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d61-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d61-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d61-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NLO-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d61-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d61-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d61-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d61-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d61-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NLO-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d61-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d61-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d61-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d61-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	1.712930e+01	5.871313e-01	5.871313e-01
2.000000e-02	4.000000e-02	1.219980e+01	4.478188e-01	4.478188e-01
4.000000e-02	6.000000e-02	6.245700e+00	3.096621e-01	3.096621e-01
6.000000e-02	8.000000e-02	3.572100e+00	2.384939e-01	2.384939e-01
8.000000e-02	1.200000e-01	2.133000e+00	1.399532e-01	1.399532e-01
1.200000e-01	1.600000e-01	1.406100e+00	1.322262e-01	1.322262e-01
1.600000e-01	2.000000e-01	6.923000e-01	1.161490e-01	1.161490e-01
2.000000e-01	2.500000e-01	3.982000e-01	1.161462e-01	1.161462e-01
2.500000e-01	3.000000e-01	4.094000e-01	1.393646e-01	1.393646e-01
3.000000e-01	4.000000e-01	7.430000e-02	5.808761e-02	5.808761e-02
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d61-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d61-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	1.550342e+01	1.245127e-02	1.245127e-02
2.000000e-02	4.000000e-02	1.269081e+01	1.126535e-02	1.126535e-02
4.000000e-02	6.000000e-02	6.755270e+00	8.219045e-03	8.219045e-03
6.000000e-02	8.000000e-02	4.154450e+00	6.445502e-03	6.445502e-03
8.000000e-02	1.200000e-01	2.375340e+00	3.446259e-03	3.446259e-03
1.200000e-01	1.600000e-01	1.263870e+00	2.513832e-03	2.513832e-03
1.600000e-01	2.000000e-01	7.488150e-01	1.934961e-03	1.934961e-03
2.000000e-01	2.500000e-01	4.566720e-01	1.351550e-03	1.351550e-03
2.500000e-01	3.000000e-01	2.665920e-01	1.032651e-03	1.032651e-03
3.000000e-01	4.000000e-01	6.176600e-02	3.514712e-04	3.514712e-04
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d61-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d61-x01-y01
ScaledBy=1.00009600921688489e-06
Title=Caitlyn, Jul8 2025
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	1.852943e+01	3.043946e-02	3.043946e-02
2.000000e-02	4.000000e-02	1.243869e+01	2.493982e-02	2.493982e-02
4.000000e-02	6.000000e-02	5.873365e+00	1.713758e-02	1.713758e-02
6.000000e-02	8.000000e-02	3.502186e+00	1.323352e-02	1.323352e-02
8.000000e-02	1.200000e-01	2.063673e+00	7.183090e-03	7.183090e-03
1.200000e-01	1.600000e-01	1.166437e+00	5.400345e-03	5.400345e-03
1.600000e-01	2.000000e-01	7.125185e-01	4.220743e-03	4.220743e-03
2.000000e-01	2.500000e-01	4.251208e-01	2.916030e-03	2.916030e-03
2.500000e-01	3.000000e-01	1.941986e-01	1.970874e-03	1.970874e-03
3.000000e-01	4.000000e-01	4.390421e-02	6.626344e-04	6.626344e-04
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d61-x01-y01
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d61-x01-y01
ScaledBy=9.99999999999999955e-07
Title=MG5 LO, No Shr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	5.000000e+01	5.000000e-02	5.000000e-02
2.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NLO-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d61-x01-y01
ErrorBars=1
LineColor=orange
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NLO-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d61-x01-y01
ScaledBy=1.24059935836201196e-06
Title=MG5 NLO, No Shr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	3.656921e+01	5.022012e-02	5.022012e-02
2.000000e-02	4.000000e-02	4.795599e+00	2.170969e-02	2.170969e-02
4.000000e-02	6.000000e-02	2.333257e+00	1.621666e-02	1.621666e-02
6.000000e-02	8.000000e-02	1.475383e+00	1.284170e-02	1.284170e-02
8.000000e-02	1.200000e-01	9.501440e-01	6.964021e-03	6.964021e-03
1.200000e-01	1.600000e-01	5.873617e-01	5.140634e-03	5.140634e-03
1.600000e-01	2.000000e-01	3.868810e-01	3.905672e-03	3.905672e-03
2.000000e-01	2.500000e-01	2.402544e-01	2.592942e-03	2.592942e-03
2.500000e-01	3.000000e-01	1.239855e-01	1.768278e-03	1.768278e-03
3.000000e-01	4.000000e-01	1.343569e-02	4.090216e-04	4.090216e-04
# END HISTO1D

