# BEGIN PLOT
Legend=1
LogY=1
Title=Total jet broadening ($E_\mathrm{CMS}=183$ GeV)
XLabel=$B_T$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}B_T$
LegendXPos=0.15
LegendYPos=0.3
DrawOnly=/ALEPH_2004_S5765862/d74-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d74-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d74-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d74-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d74-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d74-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d74-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	2.177800e+00	4.633766e-01	4.633766e-01
3.000000e-02	4.000000e-02	1.157070e+01	1.180883e+00	1.180883e+00
4.000000e-02	5.000000e-02	1.138550e+01	1.060802e+00	1.060802e+00
5.000000e-02	6.000000e-02	8.540300e+00	8.719591e-01	8.719591e-01
6.000000e-02	7.500000e-02	7.455700e+00	7.234883e-01	7.234883e-01
7.500000e-02	9.000000e-02	6.927800e+00	6.482336e-01	6.482336e-01
9.000000e-02	1.100000e-01	4.344000e+00	4.311755e-01	4.311755e-01
1.100000e-01	1.300000e-01	3.534400e+00	3.894694e-01	3.894694e-01
1.300000e-01	1.600000e-01	2.441800e+00	2.604891e-01	2.604891e-01
1.600000e-01	2.000000e-01	1.645900e+00	2.246269e-01	2.246269e-01
2.000000e-01	2.500000e-01	1.246300e+00	2.042000e-01	2.042000e-01
2.500000e-01	3.000000e-01	6.439000e-01	2.127796e-01	2.127796e-01
3.000000e-01	4.000000e-01	1.278000e-01	1.128455e-01	1.128455e-01
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d74-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d74-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	1.777953e+00	3.442822e-03	3.442822e-03
3.000000e-02	4.000000e-02	1.001650e+01	1.415380e-02	1.415380e-02
4.000000e-02	5.000000e-02	1.116436e+01	1.494280e-02	1.494280e-02
5.000000e-02	6.000000e-02	1.012746e+01	1.423198e-02	1.423198e-02
6.000000e-02	7.500000e-02	8.464613e+00	1.062363e-02	1.062363e-02
7.500000e-02	9.000000e-02	6.721013e+00	9.466441e-03	9.466441e-03
9.000000e-02	1.100000e-01	5.166230e+00	7.187649e-03	7.187649e-03
1.100000e-01	1.300000e-01	3.845490e+00	6.201201e-03	6.201201e-03
1.300000e-01	1.600000e-01	2.706620e+00	4.247839e-03	4.247839e-03
1.600000e-01	2.000000e-01	1.691485e+00	2.908165e-03	2.908165e-03
2.000000e-01	2.500000e-01	9.306840e-01	1.929439e-03	1.929439e-03
2.500000e-01	3.000000e-01	4.635440e-01	1.361681e-03	1.361681e-03
3.000000e-01	4.000000e-01	6.989600e-02	3.738877e-04	3.738877e-04
# END HISTO1D

