# BEGIN PLOT
Legend=1
LogY=1
Title=C-Parameter ($E_\mathrm{CMS}=189$ GeV)
XLabel=$C$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}C$
LegendXPos=0.15
LegendYPos=0.3
DrawOnly=/ALEPH_2004_S5765862/d91-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d91-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d91-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d91-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d91-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d91-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d91-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.695800e+00	1.334228e-01	1.334228e-01
5.000000e-02	8.000000e-02	5.402400e+00	2.708580e-01	2.708580e-01
8.000000e-02	1.100000e-01	4.114100e+00	2.133788e-01	2.133788e-01
1.100000e-01	1.400000e-01	3.031200e+00	1.858070e-01	1.858070e-01
1.400000e-01	1.800000e-01	2.249100e+00	1.413719e-01	1.413719e-01
1.800000e-01	2.200000e-01	1.949400e+00	1.227049e-01	1.227049e-01
2.200000e-01	3.000000e-01	1.361500e+00	7.180487e-02	7.180487e-02
3.000000e-01	4.000000e-01	9.524000e-01	5.685921e-02	5.685921e-02
4.000000e-01	5.000000e-01	5.812000e-01	5.308116e-02	5.308116e-02
5.000000e-01	6.000000e-01	4.536000e-01	5.180319e-02	5.180319e-02
6.000000e-01	7.500000e-01	2.568000e-01	4.857077e-02	4.857077e-02
7.500000e-01	1.000000e+00	9.880000e-02	4.024127e-02	4.024127e-02
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d91-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d91-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.760032e+00	2.653324e-03	2.653324e-03
5.000000e-02	8.000000e-02	4.718333e+00	5.608525e-03	5.608525e-03
8.000000e-02	1.100000e-01	4.038753e+00	5.188933e-03	5.188933e-03
1.100000e-01	1.400000e-01	3.230687e+00	4.640896e-03	4.640896e-03
1.400000e-01	1.800000e-01	2.526655e+00	3.554332e-03	3.554332e-03
1.800000e-01	2.200000e-01	1.955635e+00	3.127007e-03	3.127007e-03
2.200000e-01	3.000000e-01	1.407863e+00	1.876075e-03	1.876075e-03
3.000000e-01	4.000000e-01	9.196400e-01	1.356201e-03	1.356201e-03
4.000000e-01	5.000000e-01	6.124720e-01	1.106772e-03	1.106772e-03
5.000000e-01	6.000000e-01	4.302000e-01	9.275775e-04	9.275775e-04
6.000000e-01	7.500000e-01	2.989413e-01	6.313386e-04	6.313386e-04
7.500000e-01	1.000000e+00	7.748880e-02	2.489800e-04	2.489800e-04
# END HISTO1D

