# BEGIN PLOT
Legend=1
LogY=1
Title=C-Parameter ($E_\mathrm{CMS}=206$ GeV)
XLabel=$C$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}C$
LegendXPos=0.15
LegendYPos=0.3
DrawOnly=/ALEPH_2004_S5765862/d93-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d93-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d93-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d93-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NLO-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d93-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d93-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d93-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-Rivet-Caitlyn070725.yoda/ALEPH_2004_S5765862/d93-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d93-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/LHE-LEP-NLO-NoShower-NoHadroniz-Rivet.yoda/ALEPH_2004_S5765862/d93-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d93-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d93-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d93-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	2.123100e+00	1.472470e-01	1.472470e-01
5.000000e-02	8.000000e-02	5.531900e+00	2.618693e-01	2.618693e-01
8.000000e-02	1.100000e-01	4.085100e+00	2.147375e-01	2.147375e-01
1.100000e-01	1.400000e-01	2.877800e+00	1.743420e-01	1.743420e-01
1.400000e-01	1.800000e-01	2.393700e+00	1.453158e-01	1.453158e-01
1.800000e-01	2.200000e-01	1.730200e+00	1.136247e-01	1.136247e-01
2.200000e-01	3.000000e-01	1.255300e+00	7.122591e-02	7.122591e-02
3.000000e-01	4.000000e-01	7.670000e-01	5.011078e-02	5.011078e-02
4.000000e-01	5.000000e-01	6.178000e-01	5.090196e-02	5.090196e-02
5.000000e-01	6.000000e-01	3.836000e-01	4.592102e-02	4.592102e-02
6.000000e-01	7.500000e-01	2.911000e-01	4.724458e-02	4.724458e-02
7.500000e-01	1.000000e+00	1.325000e-01	3.838919e-02	3.838919e-02
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d93-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d93-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7 LO+$\tilde{q}$+MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	2.039860e+00	2.856473e-03	2.856473e-03
5.000000e-02	8.000000e-02	4.809393e+00	5.662387e-03	5.662387e-03
8.000000e-02	1.100000e-01	3.990953e+00	5.158135e-03	5.158135e-03
1.100000e-01	1.400000e-01	3.172547e+00	4.598947e-03	4.598947e-03
1.400000e-01	1.800000e-01	2.473550e+00	3.516781e-03	3.516781e-03
1.800000e-01	2.200000e-01	1.910355e+00	3.090595e-03	3.090595e-03
