# BEGIN PLOT
Legend=1
LogY=1
Title=Charged particle spectrum ($E_\mathrm{CMS}=133$ GeV)
XLabel=$x_p$
YLabel=$1/\sigma \, \mathrm{d}{\sigma}/\mathrm{d}{x_p}$
FullRange=1
DrawOnly=/ALEPH_2004_S5765862/d02-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d02-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d02-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d02-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d02-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	2.000000e-02	4.902305e+02	1.105197e+01	1.105197e+01
2.000000e-02	3.000000e-02	2.845552e+02	7.539761e+00	7.539761e+00
3.000000e-02	4.000000e-02	1.841468e+02	5.486827e+00	5.486827e+00
4.000000e-02	5.000000e-02	1.477353e+02	4.846374e+00	4.846374e+00
5.000000e-02	6.000000e-02	1.074735e+02	4.081352e+00	4.081352e+00
6.000000e-02	7.000000e-02	8.844230e+01	3.603180e+00	3.603180e+00
7.000000e-02	8.000000e-02	6.393410e+01	2.873032e+00	2.873032e+00
8.000000e-02	9.000000e-02	5.647340e+01	2.809021e+00	2.809021e+00
9.000000e-02	1.000000e-01	4.900860e+01	2.569097e+00	2.569097e+00
1.000000e-01	1.200000e-01	3.611450e+01	1.642213e+00	1.642213e+00
1.200000e-01	1.400000e-01	2.804100e+01	1.420932e+00	1.420932e+00
1.400000e-01	1.600000e-01	2.057000e+01	1.198110e+00	1.198110e+00
1.600000e-01	1.800000e-01	1.438510e+01	9.917455e-01	9.917455e-01
1.800000e-01	2.000000e-01	1.126780e+01	8.514348e-01	8.514348e-01
2.000000e-01	2.500000e-01	8.194600e+00	4.702463e-01	4.702463e-01
2.500000e-01	3.000000e-01	6.075200e+00	4.221653e-01	4.221653e-01
3.000000e-01	4.000000e-01	2.525400e+00	1.903898e-01	1.903898e-01
4.000000e-01	5.000000e-01	1.040400e+00	1.182415e-01	1.182415e-01
5.000000e-01	6.000000e-01	4.747000e-01	8.234003e-02	8.234003e-02
6.000000e-01	7.000000e-01	1.464000e-01	4.397113e-02	4.397113e-02
7.000000e-01	8.000000e-01	6.350000e-02	2.842851e-02	2.842851e-02
8.000000e-01	1.000000e+00	1.260000e-02	7.749194e-03	7.749194e-03
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d02-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d02-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	2.000000e-02	4.560054e+02	9.549925e-02	9.549925e-02
2.000000e-02	3.000000e-02	2.797340e+02	7.479760e-02	7.479760e-02
3.000000e-02	4.000000e-02	1.900752e+02	6.165634e-02	6.165634e-02
4.000000e-02	5.000000e-02	1.381025e+02	5.255522e-02	5.255522e-02
5.000000e-02	6.000000e-02	1.047364e+02	4.576819e-02	4.576819e-02
6.000000e-02	7.000000e-02	8.204198e+01	4.050728e-02	4.050728e-02
7.000000e-02	8.000000e-02	6.587560e+01	3.629755e-02	3.629755e-02
8.000000e-02	9.000000e-02	5.399220e+01	3.286098e-02	3.286098e-02
9.000000e-02	1.000000e-01	4.513114e+01	3.004368e-02	3.004368e-02
1.000000e-01	1.200000e-01	3.547849e+01	1.883574e-02	1.883574e-02
1.200000e-01	1.400000e-01	2.644203e+01	1.626100e-02	1.626100e-02
1.400000e-01	1.600000e-01	2.025823e+01	1.423314e-02	1.423314e-02
1.600000e-01	1.800000e-01	1.589049e+01	1.260575e-02	1.260575e-02
1.800000e-01	2.000000e-01	1.268419e+01	1.126241e-02	1.126241e-02
2.000000e-01	2.500000e-01	8.892652e+00	5.964110e-03	5.964110e-03
2.500000e-01	3.000000e-01	5.502352e+00	4.691419e-03	4.691419e-03
3.000000e-01	4.000000e-01	2.922792e+00	2.417764e-03	2.417764e-03
4.000000e-01	5.000000e-01	1.272422e+00	1.595257e-03	1.595257e-03
5.000000e-01	6.000000e-01	5.537080e-01	1.052338e-03	1.052338e-03
6.000000e-01	7.000000e-01	2.298260e-01	6.779764e-04	6.779764e-04
7.000000e-01	8.000000e-01	8.848000e-02	4.206661e-04	4.206661e-04
8.000000e-01	1.000000e+00	1.501200e-02	1.225235e-04	1.225235e-04
# END HISTO1D

