# BEGIN PLOT
Legend=1
LogY=1
Title=Thrust major ($E_\mathrm{CMS}=206$ GeV)
XLabel=$T_\mathrm{major}$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}T_\mathrm{major}$
LegendXPos=0.65
LegendYPos=0.8
DrawOnly=/ALEPH_2004_S5765862/d101-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d101-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d101-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d101-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d101-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d101-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d101-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d101-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d101-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-02	1.257600e+00	1.452104e-01	1.452104e-01
4.000000e-02	8.000000e-02	7.212500e+00	2.587691e-01	2.587691e-01
8.000000e-02	1.200000e-01	4.782400e+00	1.894225e-01	1.894225e-01
1.200000e-01	1.600000e-01	3.237700e+00	1.549465e-01	1.549465e-01
1.600000e-01	2.200000e-01	2.083600e+00	1.057092e-01	1.057092e-01
2.200000e-01	3.000000e-01	1.183900e+00	7.587048e-02	7.587048e-02
3.000000e-01	4.000000e-01	6.845000e-01	6.645600e-02	6.645600e-02
4.000000e-01	5.000000e-01	2.661000e-01	6.696753e-02	6.696753e-02
5.000000e-01	6.000000e-01	2.560000e-01	6.250896e-02	6.250896e-02
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d101-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d101-x01-y01
ScaledBy=1.00009600921688489e-06
Title=My Shower
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-02	1.922609e+00	6.933243e-03	6.933243e-03
4.000000e-02	8.000000e-02	7.716365e+00	1.388984e-02	1.388984e-02
8.000000e-02	1.200000e-01	4.641920e+00	1.077308e-02	1.077308e-02
1.200000e-01	1.600000e-01	2.905505e+00	8.523178e-03	8.523178e-03
1.600000e-01	2.200000e-01	1.917033e+00	5.652755e-03	5.652755e-03
2.200000e-01	3.000000e-01	1.164699e+00	3.815775e-03	3.815775e-03
3.000000e-01	4.000000e-01	6.429917e-01	2.535850e-03	2.535850e-03
4.000000e-01	5.000000e-01	3.078996e-01	1.754791e-03	1.754791e-03
5.000000e-01	6.000000e-01	8.399806e-02	9.165486e-04	9.165486e-04
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d101-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d101-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-02	1.086470e+00	2.330740e-03	2.330740e-03
4.000000e-02	8.000000e-02	6.550875e+00	5.723144e-03	5.723144e-03
8.000000e-02	1.200000e-01	5.069000e+00	5.034382e-03	5.034382e-03
1.200000e-01	1.600000e-01	3.477440e+00	4.169796e-03	4.169796e-03
1.600000e-01	2.200000e-01	2.262627e+00	2.746286e-03	2.746286e-03
2.200000e-01	3.000000e-01	1.304958e+00	1.806210e-03	1.806210e-03
3.000000e-01	4.000000e-01	6.685820e-01	1.156358e-03	1.156358e-03
4.000000e-01	5.000000e-01	3.263140e-01	8.078539e-04	8.078539e-04
5.000000e-01	6.000000e-01	1.198380e-01	4.895672e-04	4.895672e-04
# END HISTO1D

