# BEGIN PLOT
Legend=1
LogY=1
Title=Thrust minor ($E_\mathrm{CMS}=133$ GeV)
XLabel=$T_\mathrm{minor}$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}T_\mathrm{minor}$
LegendXPos=0.65
LegendYPos=0.8
DrawOnly=/ALEPH_2004_S5765862/d103-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d103-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d103-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d103-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d103-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d103-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d103-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-02	1.426000e+00	4.292406e-01	4.292406e-01
4.000000e-02	6.000000e-02	1.320980e+01	1.137246e+00	1.137246e+00
6.000000e-02	8.000000e-02	1.366170e+01	9.956946e-01	9.956946e-01
8.000000e-02	1.000000e-01	8.228900e+00	7.579164e-01	7.579164e-01
1.000000e-01	1.200000e-01	4.282300e+00	4.675612e-01	4.675612e-01
1.200000e-01	1.400000e-01	2.623700e+00	3.647251e-01	3.647251e-01
1.400000e-01	1.600000e-01	1.804300e+00	2.933497e-01	2.933497e-01
1.600000e-01	2.000000e-01	9.253000e-01	1.499977e-01	1.499977e-01
2.000000e-01	2.400000e-01	4.720000e-01	1.069238e-01	1.069238e-01
2.400000e-01	3.000000e-01	1.809000e-01	5.800802e-02	5.800802e-02
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d103-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d103-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-02	2.441925e+00	3.494227e-03	3.494227e-03
4.000000e-02	6.000000e-02	1.201519e+01	1.096138e-02	1.096138e-02
6.000000e-02	8.000000e-02	1.157898e+01	1.076057e-02	1.076057e-02
8.000000e-02	1.000000e-01	7.978230e+00	8.932094e-03	8.932094e-03
1.000000e-01	1.200000e-01	4.981410e+00	7.057910e-03	7.057910e-03
1.200000e-01	1.400000e-01	3.073610e+00	5.544015e-03	5.544015e-03
1.400000e-01	1.600000e-01	1.929080e+00	4.392129e-03	4.392129e-03
1.600000e-01	2.000000e-01	1.011260e+00	2.248622e-03	2.248622e-03
2.000000e-01	2.400000e-01	4.334300e-01	1.472124e-03	1.472124e-03
2.400000e-01	3.000000e-01	1.618867e-01	7.345898e-04	7.345898e-04
# END HISTO1D

