# BEGIN PLOT
Legend=1
LogY=1
Title=Jet mass difference ($E_\mathrm{CMS}=189$ GeV)
XLabel=$M_D$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}M_D$
LegendXPos=0.65
LegendYPos=0.8
DrawOnly=/ALEPH_2004_S5765862/d115-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d115-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d115-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d115-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d115-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d115-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d115-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	2.976440e+01	7.200900e-01	7.200900e-01
2.000000e-02	4.000000e-02	8.196300e+00	3.818635e-01	3.818635e-01
4.000000e-02	6.000000e-02	3.613800e+00	2.656609e-01	2.656609e-01
6.000000e-02	8.000000e-02	2.630600e+00	2.369799e-01	2.369799e-01
8.000000e-02	1.200000e-01	1.515300e+00	1.349468e-01	1.349468e-01
1.200000e-01	1.600000e-01	5.873000e-01	1.004034e-01	1.004034e-01
1.600000e-01	2.000000e-01	4.457000e-01	9.057196e-02	9.057196e-02
2.000000e-01	2.400000e-01	1.727000e-01	7.762165e-02	7.762165e-02
2.400000e-01	2.800000e-01	1.337000e-01	5.988739e-02	5.988739e-02
2.800000e-01	3.200000e-01	4.000000e-02	2.771895e-02	2.771895e-02
3.200000e-01	4.000000e-01	1.400000e-03	7.220111e-03	7.220111e-03
4.000000e-01	1.000000e+00	0.000000e+00	4.300000e-03	4.300000e-03
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d115-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d115-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	2.985767e+01	1.727937e-02	1.727937e-02
2.000000e-02	4.000000e-02	8.276720e+00	9.097648e-03	9.097648e-03
4.000000e-02	6.000000e-02	4.034920e+00	6.352102e-03	6.352102e-03
6.000000e-02	8.000000e-02	2.384500e+00	4.883134e-03	4.883134e-03
8.000000e-02	1.200000e-01	1.324170e+00	2.573101e-03	2.573101e-03
1.200000e-01	1.600000e-01	6.781050e-01	1.841338e-03	1.841338e-03
1.600000e-01	2.000000e-01	3.756450e-01	1.370483e-03	1.370483e-03
2.000000e-01	2.400000e-01	2.157950e-01	1.038737e-03	1.038737e-03
2.400000e-01	2.800000e-01	9.963000e-02	7.057974e-04	7.057974e-04
2.800000e-01	3.200000e-01	2.666000e-02	3.651027e-04	3.651027e-04
3.200000e-01	4.000000e-01	1.525000e-03	6.174545e-05	6.174545e-05
4.000000e-01	1.000000e+00	2.666667e-06	9.428090e-07	9.428090e-07
# END HISTO1D

