# BEGIN PLOT
Legend=1
LogY=1
Title=Aplanarity ($E_\mathrm{CMS}=161$ GeV)
XLabel=$A$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}A$
DrawOnly=/ALEPH_2004_S5765862/d120-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d120-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d120-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d120-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d120-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d120-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d120-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	1.514378e+02	1.533952e+01	1.533952e+01
2.000000e-03	5.000000e-03	7.938820e+01	1.027647e+01	1.027647e+01
5.000000e-03	7.000000e-03	3.968200e+01	6.934436e+00	6.934436e+00
7.000000e-03	1.000000e-02	3.040850e+01	7.209797e+00	7.209797e+00
1.000000e-02	1.500000e-02	1.550480e+01	3.008091e+00	3.008091e+00
1.500000e-02	2.000000e-02	5.234900e+00	1.732636e+00	1.732636e+00
2.000000e-02	3.000000e-02	2.935200e+00	1.015979e+00	1.015979e+00
3.000000e-02	4.000000e-02	1.751100e+00	7.414721e-01	7.414721e-01
4.000000e-02	6.000000e-02	2.004700e+00	6.922254e-01	6.922254e-01
6.000000e-02	8.000000e-02	9.665000e-01	5.867688e-01	5.867688e-01
8.000000e-02	1.000000e-01	6.216000e-01	4.337096e-01	4.337096e-01
1.000000e-01	1.200000e-01	7.510000e-01	6.215971e-01	6.215971e-01
1.200000e-01	1.400000e-01	8.740000e-02	1.217350e-01	1.217350e-01
1.400000e-01	1.600000e-01	3.026000e-01	2.334681e-01	2.334681e-01
1.600000e-01	2.000000e-01	7.270000e-02	1.109402e-01	1.109402e-01
2.000000e-01	3.000000e-01	-4.300000e-03	7.270688e-02	7.270688e-02
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d120-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d120-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	1.384912e+02	1.176823e-01	1.176823e-01
2.000000e-03	5.000000e-03	1.028971e+02	8.282396e-02	8.282396e-02
5.000000e-03	7.000000e-03	5.206470e+01	7.215587e-02	7.215587e-02
7.000000e-03	1.000000e-02	3.080780e+01	4.531946e-02	4.531946e-02
1.000000e-02	1.500000e-02	1.602504e+01	2.531801e-02	2.531801e-02
1.500000e-02	2.000000e-02	8.427840e+00	1.836065e-02	1.836065e-02
2.000000e-02	3.000000e-02	4.182280e+00	9.145797e-03	9.145797e-03
3.000000e-02	4.000000e-02	1.980920e+00	6.294315e-03	6.294315e-03
4.000000e-02	6.000000e-02	8.855000e-01	2.975735e-03	2.975735e-03
6.000000e-02	8.000000e-02	3.682300e-01	1.918932e-03	1.918932e-03
8.000000e-02	1.000000e-01	1.842500e-01	1.357387e-03	1.357387e-03
1.000000e-01	1.200000e-01	1.005600e-01	1.002796e-03	1.002796e-03
1.200000e-01	1.400000e-01	5.796000e-02	7.613147e-04	7.613147e-04
1.400000e-01	1.600000e-01	3.564000e-02	5.969925e-04	5.969925e-04
1.600000e-01	2.000000e-01	1.829500e-02	3.024483e-04	3.024483e-04
2.000000e-01	3.000000e-01	4.602000e-03	9.593748e-05	9.593748e-05
# END HISTO1D

