# BEGIN PLOT
Legend=1
LogY=1
Title=Planarity ($E_\mathrm{CMS}=183$ GeV)
XLabel=$P$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}P$
DrawOnly=/ALEPH_2004_S5765862/d129-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d129-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d129-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d129-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d129-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d129-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d129-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	1.230782e+02	7.305571e+00	7.305571e+00
2.000000e-03	5.000000e-03	4.868940e+01	4.731148e+00	4.731148e+00
5.000000e-03	7.000000e-03	2.868900e+01	3.036120e+00	3.036120e+00
7.000000e-03	1.000000e-02	2.058830e+01	2.621926e+00	2.621926e+00
1.000000e-02	1.500000e-02	1.439140e+01	1.642355e+00	1.642355e+00
1.500000e-02	2.000000e-02	8.560400e+00	1.303208e+00	1.303208e+00
2.000000e-02	3.000000e-02	6.037900e+00	8.041628e-01	8.041628e-01
3.000000e-02	4.000000e-02	5.189200e+00	7.579222e-01	7.579222e-01
4.000000e-02	6.000000e-02	2.980400e+00	4.069168e-01	4.069168e-01
6.000000e-02	8.000000e-02	2.235600e+00	3.566809e-01	3.566809e-01
8.000000e-02	1.000000e-01	7.483000e-01	2.291432e-01	2.291432e-01
1.000000e-01	1.200000e-01	1.073100e+00	2.944833e-01	2.944833e-01
1.200000e-01	1.400000e-01	9.805000e-01	2.735603e-01	2.735603e-01
1.400000e-01	1.600000e-01	9.243000e-01	2.802602e-01	2.802602e-01
1.600000e-01	2.000000e-01	3.871000e-01	1.461058e-01	1.461058e-01
2.000000e-01	3.000000e-01	2.603000e-01	8.863239e-02	8.863239e-02
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d129-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d129-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	1.212869e+02	1.101303e-01	1.101303e-01
2.000000e-03	5.000000e-03	6.052280e+01	6.352050e-02	6.352050e-02
5.000000e-03	7.000000e-03	3.445800e+01	5.870094e-02	5.870094e-02
7.000000e-03	1.000000e-02	2.401507e+01	4.001255e-02	4.001255e-02
1.000000e-02	1.500000e-02	1.567996e+01	2.504393e-02	2.504393e-02
1.500000e-02	2.000000e-02	1.059004e+01	2.058158e-02	2.058158e-02
2.000000e-02	3.000000e-02	6.909520e+00	1.175544e-02	1.175544e-02
3.000000e-02	4.000000e-02	4.415960e+00	9.397830e-03	9.397830e-03
4.000000e-02	6.000000e-02	2.736900e+00	5.231539e-03	5.231539e-03
6.000000e-02	8.000000e-02	1.665940e+00	4.081593e-03	4.081593e-03
8.000000e-02	1.000000e-01	1.134360e+00	3.368026e-03	3.368026e-03
1.000000e-01	1.200000e-01	8.161800e-01	2.856886e-03	2.856886e-03
1.200000e-01	1.400000e-01	6.160400e-01	2.482015e-03	2.482015e-03
1.400000e-01	1.600000e-01	4.815200e-01	2.194356e-03	2.194356e-03
1.600000e-01	2.000000e-01	3.496650e-01	1.322242e-03	1.322242e-03
2.000000e-01	3.000000e-01	1.865280e-01	6.107831e-04	6.107831e-04
# END HISTO1D

