# BEGIN PLOT
Legend=1
LogY=1
Title=Sphericity ($E_\mathrm{CMS}=133$ GeV)
XLabel=$S$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}S$
DrawOnly=/ALEPH_2004_S5765862/d142-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d142-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d142-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d142-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d142-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d142-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d142-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	2.190460e+01	1.325489e+00	1.325489e+00
2.000000e-02	4.000000e-02	9.102400e+00	7.445888e-01	7.445888e-01
4.000000e-02	6.000000e-02	3.978700e+00	4.831967e-01	4.831967e-01
6.000000e-02	1.200000e-01	2.099000e+00	2.010362e-01	2.010362e-01
1.200000e-01	2.000000e-01	9.250000e-01	1.100951e-01	1.100951e-01
2.000000e-01	3.000000e-01	4.955000e-01	6.809442e-02	6.809442e-02
3.000000e-01	5.000000e-01	1.902000e-01	2.772003e-02	2.772003e-02
5.000000e-01	7.000000e-01	6.380000e-02	1.513803e-02	1.513803e-02
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d142-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d142-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	2.173144e+01	1.474159e-02	1.474159e-02
2.000000e-02	4.000000e-02	9.282530e+00	9.634589e-03	9.634589e-03
4.000000e-02	6.000000e-02	4.712530e+00	6.864787e-03	6.864787e-03
6.000000e-02	1.200000e-01	2.161457e+00	2.684186e-03	2.684186e-03
1.200000e-01	2.000000e-01	8.644625e-01	1.470087e-03	1.470087e-03
2.000000e-01	3.000000e-01	4.030100e-01	8.977862e-04	8.977862e-04
3.000000e-01	5.000000e-01	1.700750e-01	4.124015e-04	4.124015e-04
5.000000e-01	7.000000e-01	5.638800e-02	2.374616e-04	2.374616e-04
# END HISTO1D

