# BEGIN PLOT
Legend=1
LogY=1
Title=Charged particle spectrum ($E_\mathrm{CMS}=200$ GeV)
XLabel=$\xi_p$
YLabel=$1/\sigma \, \mathrm{d}\sigma/\mathrm{d}\xi_p$
FullRange=1
LegendYPos=0.65
DrawOnly=/ALEPH_2004_S5765862/d17-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d17-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d17-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d17-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d17-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d17-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d17-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.470000e-02	7.889233e-03	7.889233e-03
2.000000e-01	4.000000e-01	4.950000e-02	1.692602e-02	1.692602e-02
4.000000e-01	6.000000e-01	1.312000e-01	2.608237e-02	2.608237e-02
6.000000e-01	8.000000e-01	3.317000e-01	3.549704e-02	3.549704e-02
8.000000e-01	1.000000e+00	6.189000e-01	5.012435e-02	5.012435e-02
1.000000e+00	1.200000e+00	8.473000e-01	5.718995e-02	5.718995e-02
1.200000e+00	1.400000e+00	1.449700e+00	7.322800e-02	7.322800e-02
1.400000e+00	1.600000e+00	1.814100e+00	8.518245e-02	8.518245e-02
1.600000e+00	1.800000e+00	2.607700e+00	1.043683e-01	1.043683e-01
1.800000e+00	2.000000e+00	3.077900e+00	1.208374e-01	1.208374e-01
2.000000e+00	2.200000e+00	3.628200e+00	1.262368e-01	1.262368e-01
2.200000e+00	2.400000e+00	3.996100e+00	1.371098e-01	1.371098e-01
2.400000e+00	2.600000e+00	4.899000e+00	1.447559e-01	1.447559e-01
2.600000e+00	2.800000e+00	5.277700e+00	1.666721e-01	1.666721e-01
2.800000e+00	3.000000e+00	5.814500e+00	1.719169e-01	1.719169e-01
3.000000e+00	3.200000e+00	6.714900e+00	1.776211e-01	1.776211e-01
3.200000e+00	3.400000e+00	6.964700e+00	1.768860e-01	1.768860e-01
3.400000e+00	3.600000e+00	7.268300e+00	1.811851e-01	1.811851e-01
3.600000e+00	3.800000e+00	7.471900e+00	1.842827e-01	1.842827e-01
3.800000e+00	4.000000e+00	7.446800e+00	1.864017e-01	1.864017e-01
4.000000e+00	4.200000e+00	7.565500e+00	1.928080e-01	1.928080e-01
4.200000e+00	4.400000e+00	7.549400e+00	2.026023e-01	2.026023e-01
4.400000e+00	4.600000e+00	7.488900e+00	2.181065e-01	2.181065e-01
4.600000e+00	4.800000e+00	7.437500e+00	2.023811e-01	2.023811e-01
4.800000e+00	5.000000e+00	6.791300e+00	1.927899e-01	1.927899e-01
5.000000e+00	5.200000e+00	6.300900e+00	1.816238e-01	1.816238e-01
5.200000e+00	5.400000e+00	5.531900e+00	1.611427e-01	1.611427e-01
5.400000e+00	5.600000e+00	4.692300e+00	1.559875e-01	1.559875e-01
5.600000e+00	5.800000e+00	4.376300e+00	1.623491e-01	1.623491e-01
5.800000e+00	6.000000e+00	3.072200e+00	1.419426e-01	1.419426e-01
6.000000e+00	6.200000e+00	2.548000e+00	1.824757e-01	1.824757e-01
6.200000e+00	6.400000e+00	1.481300e+00	8.181891e-01	8.181891e-01
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d17-x01-y01
