# BEGIN PLOT
Legend=1
LogY=1
Title=Durham jet resolution $5 \to 4$ ($E_\mathrm{CMS}=172$ GeV)
XLabel=$-\ln(y_{45})$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\ln(y_{45})$
LegendXPos=0.25
LegendYPos=0.4
DrawOnly=/ALEPH_2004_S5765862/d176-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d176-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d176-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d176-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d176-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d176-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d176-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.400000e+00	3.200000e+00	-1.000000e-04	4.123106e-04	4.123106e-04
3.200000e+00	4.000000e+00	-1.800000e-03	1.810249e-02	1.810249e-02
4.000000e+00	4.800000e+00	1.810000e-02	2.094039e-02	2.094039e-02
4.800000e+00	5.600000e+00	1.880000e-02	1.632483e-02	1.632483e-02
5.600000e+00	6.400000e+00	5.480000e-02	2.502039e-02	2.502039e-02
6.400000e+00	7.200000e+00	1.329000e-01	3.362440e-02	3.362440e-02
7.200000e+00	8.000000e+00	2.371000e-01	3.543021e-02	3.543021e-02
8.000000e+00	8.800000e+00	4.922000e-01	5.479243e-02	5.479243e-02
8.800000e+00	9.600000e+00	2.671000e-01	4.522168e-02	4.522168e-02
9.600000e+00	1.040000e+01	2.660000e-02	2.436555e-02	2.436555e-02
1.040000e+01	1.120000e+01	-6.000000e-04	1.670120e-02	1.670120e-02
1.120000e+01	1.200000e+01	4.700000e-03	4.909175e-03	4.909175e-03
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d176-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d176-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
2.400000e+00	3.200000e+00	7.000000e-06	1.322876e-06	1.322876e-06
3.200000e+00	4.000000e+00	6.025000e-04	1.227294e-05	1.227294e-05
4.000000e+00	4.800000e+00	5.586750e-03	3.737228e-05	3.737228e-05
4.800000e+00	5.600000e+00	2.495500e-02	7.898576e-05	7.898576e-05
5.600000e+00	6.400000e+00	7.648575e-02	1.382803e-04	1.382803e-04
6.400000e+00	7.200000e+00	1.856030e-01	2.154083e-04	2.154083e-04
7.200000e+00	8.000000e+00	3.334365e-01	2.887198e-04	2.887198e-04
8.000000e+00	8.800000e+00	3.604360e-01	3.001816e-04	3.001816e-04
8.800000e+00	9.600000e+00	2.033135e-01	2.254515e-04	2.254515e-04
9.600000e+00	1.040000e+01	5.294150e-02	1.150451e-04	1.150451e-04
1.040000e+01	1.120000e+01	6.142000e-03	3.918546e-05	3.918546e-05
1.120000e+01	1.200000e+01	4.412500e-04	1.050298e-05	1.050298e-05
# END HISTO1D

