# BEGIN PLOT
Legend=1
LogY=1
Title=2-jet fraction ($E_\mathrm{CMS}=189$ GeV)
XLabel=$\log(y_\mathrm{cut})$
YLabel=$\sigma(\mathrm{2~jet})/\sigma(\mathrm{inclusive})$
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d200-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d200-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d200-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d200-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d200-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d200-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d200-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-4.500000e+00	-4.300000e+00	3.000000e-04	7.615773e-04	7.615773e-04
-4.300000e+00	-4.100000e+00	1.400000e-03	1.486607e-03	1.486607e-03
-4.100000e+00	-3.900000e+00	8.200000e-03	3.780212e-03	3.780212e-03
-3.900000e+00	-3.700000e+00	1.960000e-02	4.215448e-03	4.215448e-03
-3.700000e+00	-3.500000e+00	4.420000e-02	5.629387e-03	5.629387e-03
-3.500000e+00	-3.300000e+00	1.020000e-01	8.988882e-03	8.988882e-03
-3.300000e+00	-3.100000e+00	1.837000e-01	1.205529e-02	1.205529e-02
-3.100000e+00	-2.900000e+00	2.614000e-01	1.333754e-02	1.333754e-02
-2.900000e+00	-2.700000e+00	3.541000e-01	1.547288e-02	1.547288e-02
-2.700000e+00	-2.500000e+00	4.341000e-01	1.790251e-02	1.790251e-02
-2.500000e+00	-2.300000e+00	5.146000e-01	1.890820e-02	1.890820e-02
-2.300000e+00	-2.100000e+00	5.898000e-01	2.017176e-02	2.017176e-02
-2.100000e+00	-1.900000e+00	6.713000e-01	2.145530e-02	2.145530e-02
-1.900000e+00	-1.700000e+00	7.456000e-01	2.306534e-02	2.306534e-02
-1.700000e+00	-1.500000e+00	8.128000e-01	2.454913e-02	2.454913e-02
-1.500000e+00	-1.300000e+00	8.654000e-01	2.526064e-02	2.526064e-02
-1.300000e+00	-1.100000e+00	9.161000e-01	2.561289e-02	2.561289e-02
-1.100000e+00	-9.000000e-01	9.547000e-01	2.607834e-02	2.607834e-02
-9.000000e-01	-7.000000e-01	9.801000e-01	2.643823e-02	2.643823e-02
-7.000000e-01	-5.000000e-01	9.944000e-01	2.676864e-02	2.676864e-02
-5.000000e-01	-3.000000e-01	9.998000e-01	2.709336e-02	2.709336e-02
-3.000000e-01	-1.000000e-01	9.675000e-01	2.630589e-02	2.630589e-02
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d200-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d200-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
-4.500000e+00	-4.300000e+00	6.440000e-05	3.588872e-06	3.588872e-06
-4.300000e+00	-4.100000e+00	3.758000e-04	8.669487e-06	8.669487e-06
-4.100000e+00	-3.900000e+00	2.008000e-03	2.003996e-05	2.003996e-05
-3.900000e+00	-3.700000e+00	8.118600e-03	4.029541e-05	4.029541e-05
-3.700000e+00	-3.500000e+00	2.528200e-02	7.110837e-05	7.110837e-05
-3.500000e+00	-3.300000e+00	6.117740e-02	1.106141e-04	1.106141e-04
-3.300000e+00	-3.100000e+00	1.200088e-01	1.549250e-04	1.549250e-04
-3.100000e+00	-2.900000e+00	1.972396e-01	1.986150e-04	1.986150e-04
-2.900000e+00	-2.700000e+00	2.841782e-01	2.384023e-04	2.384023e-04
-2.700000e+00	-2.500000e+00	3.734784e-01	2.733051e-04	2.733051e-04
-2.500000e+00	-2.300000e+00	4.624150e-01	3.041102e-04	3.041102e-04
-2.300000e+00	-2.100000e+00	5.491680e-01	3.314116e-04	3.314116e-04
-2.100000e+00	-1.900000e+00	6.328580e-01	3.557691e-04	3.557691e-04
-1.900000e+00	-1.700000e+00	7.108940e-01	3.770660e-04	3.770660e-04
-1.700000e+00	-1.500000e+00	7.817675e-01	3.954156e-04	3.954156e-04
-1.500000e+00	-1.300000e+00	8.434840e-01	4.107272e-04	4.107272e-04
-1.300000e+00	-1.100000e+00	8.955690e-01	4.232184e-04	4.232184e-04
-1.100000e+00	-9.000000e-01	9.371210e-01	4.329252e-04	4.329252e-04
-9.000000e-01	-7.000000e-01	9.683735e-01	4.400849e-04	4.400849e-04
-7.000000e-01	-5.000000e-01	9.898540e-01	4.449391e-04	4.449391e-04
-5.000000e-01	-3.000000e-01	9.999460e-01	4.472015e-04	4.472015e-04
-3.000000e-01	-1.000000e-01	9.959595e-01	4.463092e-04	4.463092e-04
# END HISTO1D

