# BEGIN PLOT
Legend=1
LogY=1
Title=2-jet fraction ($E_\mathrm{CMS}=206$ GeV)
XLabel=$\log(y_\mathrm{cut})$
YLabel=$\sigma(\mathrm{2~jet})/\sigma(\mathrm{inclusive})$
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d202-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d202-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d202-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d202-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d202-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d202-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d202-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d202-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d202-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.100000e+00	-4.900000e+00	6.000000e-04	5.000000e-04	5.000000e-04
-4.900000e+00	-4.700000e+00	1.000000e-03	5.099020e-04	5.099020e-04
-4.700000e+00	-4.500000e+00	4.000000e-04	2.284732e-03	2.284732e-03
-4.500000e+00	-4.300000e+00	2.500000e-03	4.301163e-03	4.301163e-03
-4.300000e+00	-4.100000e+00	7.000000e-03	5.481788e-03	5.481788e-03
-4.100000e+00	-3.900000e+00	1.040000e-02	4.967897e-03	4.967897e-03
-3.900000e+00	-3.700000e+00	3.010000e-02	7.427651e-03	7.427651e-03
-3.700000e+00	-3.500000e+00	6.530000e-02	9.759098e-03	9.759098e-03
-3.500000e+00	-3.300000e+00	1.237000e-01	1.240846e-02	1.240846e-02
-3.300000e+00	-3.100000e+00	2.077000e-01	1.408013e-02	1.408013e-02
-3.100000e+00	-2.900000e+00	2.843000e-01	1.617436e-02	1.617436e-02
-2.900000e+00	-2.700000e+00	3.708000e-01	1.753767e-02	1.753767e-02
-2.700000e+00	-2.500000e+00	4.489000e-01	1.888544e-02	1.888544e-02
-2.500000e+00	-2.300000e+00	5.307000e-01	2.073379e-02	2.073379e-02
-2.300000e+00	-2.100000e+00	6.102000e-01	2.245551e-02	2.245551e-02
-2.100000e+00	-1.900000e+00	6.801000e-01	2.383988e-02	2.383988e-02
-1.900000e+00	-1.700000e+00	7.486000e-01	2.404163e-02	2.404163e-02
-1.700000e+00	-1.500000e+00	8.027000e-01	2.427880e-02	2.427880e-02
-1.500000e+00	-1.300000e+00	8.629000e-01	2.512688e-02	2.512688e-02
-1.300000e+00	-1.100000e+00	9.125000e-01	2.586987e-02	2.586987e-02
-1.100000e+00	-9.000000e-01	9.470000e-01	2.672770e-02	2.672770e-02
-9.000000e-01	-7.000000e-01	9.741000e-01	2.698629e-02	2.698629e-02
-7.000000e-01	-5.000000e-01	9.930000e-01	2.727380e-02	2.727380e-02
-5.000000e-01	-3.000000e-01	9.919000e-01	2.704071e-02	2.704071e-02
-3.000000e-01	-1.000000e-01	9.689000e-01	2.637594e-02	2.637594e-02
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d202-x01-y01
ErrorBars=1
LineColor=red
