# BEGIN PLOT
Legend=1
LogY=1
Title=4-jet fraction ($E_\mathrm{CMS}=206$ GeV)
XLabel=$\log(y_\mathrm{cut})$
YLabel=$\sigma(\mathrm{4~jet})/\sigma(\mathrm{inclusive})$
LegendXPos=0.35
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d218-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d218-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d218-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d218-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d218-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d218-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d218-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d218-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d218-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.100000e+00	-4.900000e+00	2.000000e-04	8.062258e-04	8.062258e-04
-4.900000e+00	-4.700000e+00	1.000000e-03	1.204159e-03	1.204159e-03
-4.700000e+00	-4.500000e+00	3.700000e-03	3.138471e-03	3.138471e-03
-4.500000e+00	-4.300000e+00	1.670000e-02	5.099020e-03	5.099020e-03
-4.300000e+00	-4.100000e+00	5.330000e-02	7.824321e-03	7.824321e-03
-4.100000e+00	-3.900000e+00	1.284000e-01	1.280820e-02	1.280820e-02
-3.900000e+00	-3.700000e+00	2.085000e-01	1.690000e-02	1.690000e-02
-3.700000e+00	-3.500000e+00	2.713000e-01	2.147417e-02	2.147417e-02
-3.500000e+00	-3.300000e+00	2.854000e-01	1.675231e-02	1.675231e-02
-3.300000e+00	-3.100000e+00	2.509000e-01	1.343503e-02	1.343503e-02
-3.100000e+00	-2.900000e+00	2.187000e-01	1.525516e-02	1.525516e-02
-2.900000e+00	-2.700000e+00	1.915000e-01	1.541590e-02	1.541590e-02
-2.700000e+00	-2.500000e+00	1.481000e-01	1.160776e-02	1.160776e-02
-2.500000e+00	-2.300000e+00	1.160000e-01	9.914131e-03	9.914131e-03
-2.300000e+00	-2.100000e+00	8.390000e-02	9.708244e-03	9.708244e-03
-2.100000e+00	-1.900000e+00	5.290000e-02	7.665507e-03	7.665507e-03
-1.900000e+00	-1.700000e+00	2.250000e-02	6.440497e-03	6.440497e-03
-1.700000e+00	-1.500000e+00	1.420000e-02	6.403124e-03	6.403124e-03
-1.500000e+00	-1.300000e+00	1.400000e-03	3.176476e-03	3.176476e-03
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d218-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d218-x01-y01
ScaledBy=1.00009600921688489e-06
Title=My Shower
# xlow	 xhigh	 val	 errminus	 errplus
-5.100000e+00	-4.900000e+00	1.540148e-04	1.241087e-05	1.241087e-05
-4.900000e+00	-4.700000e+00	7.380710e-04	2.716876e-05	2.716876e-05
-4.700000e+00	-4.500000e+00	3.625348e-03	6.021374e-05	6.021374e-05
-4.500000e+00	-4.300000e+00	1.512545e-02	1.229915e-04	1.229915e-04
