# BEGIN PLOT
Legend=1
LogY=1
Title=Charged particle spectrum ($E_\mathrm{CMS}=183$ GeV)
XLabel=$x_E$
YLabel=$1/\sigma \, \mathrm{d}{\sigma}/\mathrm{d}{x_E}$
FullRange=1
DrawOnly=/ALEPH_2004_S5765862/d22-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d22-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d22-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d22-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d22-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d22-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d22-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	2.000000e-02	5.240143e+02	1.044328e+01	1.044328e+01
2.000000e-02	3.000000e-02	2.898232e+02	7.064782e+00	7.064782e+00
3.000000e-02	4.000000e-02	1.967938e+02	5.110702e+00	5.110702e+00
4.000000e-02	5.000000e-02	1.468448e+02	4.399381e+00	4.399381e+00
5.000000e-02	6.000000e-02	1.103815e+02	3.756529e+00	3.756529e+00
6.000000e-02	7.000000e-02	8.201520e+01	3.061022e+00	3.061022e+00
7.000000e-02	8.000000e-02	6.621540e+01	2.874058e+00	2.874058e+00
8.000000e-02	9.000000e-02	5.607470e+01	2.501256e+00	2.501256e+00
9.000000e-02	1.000000e-01	4.868870e+01	2.333508e+00	2.333508e+00
1.000000e-01	1.200000e-01	3.571360e+01	1.394389e+00	1.394389e+00
1.200000e-01	1.400000e-01	2.667370e+01	1.188344e+00	1.188344e+00
1.400000e-01	1.600000e-01	2.118470e+01	1.059149e+00	1.059149e+00
1.600000e-01	1.800000e-01	1.677280e+01	9.612785e-01	9.612785e-01
1.800000e-01	2.000000e-01	1.313360e+01	8.786798e-01	8.786798e-01
2.000000e-01	2.500000e-01	8.622200e+00	4.514553e-01	4.514553e-01
2.500000e-01	3.000000e-01	4.802100e+00	3.266412e-01	3.266412e-01
3.000000e-01	4.000000e-01	2.510100e+00	1.655998e-01	1.655998e-01
4.000000e-01	5.000000e-01	1.059100e+00	1.092431e-01	1.092431e-01
5.000000e-01	6.000000e-01	4.135000e-01	6.569056e-02	6.569056e-02
6.000000e-01	7.000000e-01	1.625000e-01	4.808326e-02	4.808326e-02
7.000000e-01	8.000000e-01	1.560000e-01	6.622968e-02	6.622968e-02
8.000000e-01	1.000000e+00	1.770000e-02	7.779460e-03	7.779460e-03
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d22-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d22-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	2.000000e-02	5.196347e+02	1.019445e-01	1.019445e-01
2.000000e-02	3.000000e-02	2.983609e+02	7.724778e-02	7.724778e-02
3.000000e-02	4.000000e-02	1.970556e+02	6.277828e-02	6.277828e-02
4.000000e-02	5.000000e-02	1.410118e+02	5.310589e-02	5.310589e-02
5.000000e-02	6.000000e-02	1.059293e+02	4.602810e-02	4.602810e-02
6.000000e-02	7.000000e-02	8.237634e+01	4.058974e-02	4.058974e-02
7.000000e-02	8.000000e-02	6.576126e+01	3.626603e-02	3.626603e-02
8.000000e-02	9.000000e-02	5.385852e+01	3.282027e-02	3.282027e-02
9.000000e-02	1.000000e-01	4.482116e+01	2.994033e-02	2.994033e-02
1.000000e-01	1.200000e-01	3.509202e+01	1.873287e-02	1.873287e-02
1.200000e-01	1.400000e-01	2.605994e+01	1.614309e-02	1.614309e-02
1.400000e-01	1.600000e-01	1.994791e+01	1.412371e-02	1.412371e-02
1.600000e-01	1.800000e-01	1.559657e+01	1.248862e-02	1.248862e-02
1.800000e-01	2.000000e-01	1.240678e+01	1.113857e-02	1.113857e-02
2.000000e-01	2.500000e-01	8.664112e+00	5.886973e-03	5.886973e-03
2.500000e-01	3.000000e-01	5.347428e+00	4.624901e-03	4.624901e-03
3.000000e-01	4.000000e-01	2.814838e+00	2.372694e-03	2.372694e-03
4.000000e-01	5.000000e-01	1.210158e+00	1.555736e-03	1.555736e-03
5.000000e-01	6.000000e-01	5.222700e-01	1.022027e-03	1.022027e-03
6.000000e-01	7.000000e-01	2.143160e-01	6.546999e-04	6.546999e-04
7.000000e-01	8.000000e-01	7.995000e-02	3.998750e-04	3.998750e-04
8.000000e-01	1.000000e+00	1.363200e-02	1.167562e-04	1.167562e-04
# END HISTO1D

