# BEGIN PLOT
Legend=1
LogY=1
Title=5-jet fraction ($E_\mathrm{CMS}=189$ GeV)
XLabel=$\log(y_\mathrm{cut})$
YLabel=$\sigma(\mathrm{5~jet})/\sigma(\mathrm{inclusive})$
LegendXPos=0.35
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d224-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d224-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d224-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d224-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d224-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d224-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d224-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-4.900000e+00	-4.700000e+00	2.500000e-03	1.526434e-03	1.526434e-03
-4.700000e+00	-4.500000e+00	1.150000e-02	3.176476e-03	3.176476e-03
-4.500000e+00	-4.300000e+00	4.170000e-02	5.793962e-03	5.793962e-03
-4.300000e+00	-4.100000e+00	1.091000e-01	8.973851e-03	8.973851e-03
-4.100000e+00	-3.900000e+00	1.684000e-01	1.114002e-02	1.114002e-02
-3.900000e+00	-3.700000e+00	2.177000e-01	1.266491e-02	1.266491e-02
-3.700000e+00	-3.500000e+00	2.248000e-01	1.253236e-02	1.253236e-02
-3.500000e+00	-3.300000e+00	1.864000e-01	1.203038e-02	1.203038e-02
-3.300000e+00	-3.100000e+00	1.492000e-01	1.213136e-02	1.213136e-02
-3.100000e+00	-2.900000e+00	9.180000e-02	9.075792e-03	9.075792e-03
-2.900000e+00	-2.700000e+00	5.660000e-02	8.920202e-03	8.920202e-03
-2.700000e+00	-2.500000e+00	2.980000e-02	9.280086e-03	9.280086e-03
-2.500000e+00	-2.300000e+00	1.420000e-02	7.080254e-03	7.080254e-03
-2.300000e+00	-2.100000e+00	6.700000e-03	4.060788e-03	4.060788e-03
-1.700000e+00	-1.500000e+00	4.000000e-04	1.655295e-03	1.655295e-03
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d224-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d224-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
-4.900000e+00	-4.700000e+00	2.030600e-03	2.015242e-05	2.015242e-05
-4.700000e+00	-4.500000e+00	8.080800e-03	4.020149e-05	4.020149e-05
-4.500000e+00	-4.300000e+00	2.670660e-02	7.308433e-05	7.308433e-05
-4.300000e+00	-4.100000e+00	6.743960e-02	1.161375e-04	1.161375e-04
-4.100000e+00	-3.900000e+00	1.294474e-01	1.609021e-04	1.609021e-04
-3.900000e+00	-3.700000e+00	1.929012e-01	1.964186e-04	1.964186e-04
-3.700000e+00	-3.500000e+00	2.285962e-01	2.138206e-04	2.138206e-04
-3.500000e+00	-3.300000e+00	2.225944e-01	2.109950e-04	2.109950e-04
-3.300000e+00	-3.100000e+00	1.838920e-01	1.917770e-04	1.917770e-04
-3.100000e+00	-2.900000e+00	1.326836e-01	1.629010e-04	1.629010e-04
-2.900000e+00	-2.700000e+00	8.593760e-02	1.311012e-04	1.311012e-04
-2.700000e+00	-2.500000e+00	5.055560e-02	1.005541e-04	1.005541e-04
-2.500000e+00	-2.300000e+00	2.674020e-02	7.313029e-05	7.313029e-05
-2.300000e+00	-2.100000e+00	1.247680e-02	4.995358e-05	4.995358e-05
-1.700000e+00	-1.500000e+00	3.484000e-04	8.347455e-06	8.347455e-06
# END HISTO1D

