# BEGIN PLOT
Legend=1
LogY=1
Title=$\geq$6-jet fraction ($E_\mathrm{CMS}=172$ GeV)
XLabel=$\log(y_\mathrm{cut})$
YLabel=$\sigma(\geq\mathrm{6~jet})/\sigma(\mathrm{inclusive})$
LegendXPos=0.05
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d230-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d230-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d230-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d230-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d230-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d230-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d230-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.100000e+00	-4.900000e+00	9.898000e-01	9.826088e-02	9.826088e-02
-4.900000e+00	-4.700000e+00	9.896000e-01	9.826088e-02	9.826088e-02
-4.700000e+00	-4.500000e+00	9.874000e-01	9.827838e-02	9.827838e-02
-4.500000e+00	-4.300000e+00	9.682000e-01	9.649300e-02	9.649300e-02
-4.300000e+00	-4.100000e+00	8.829000e-01	9.294213e-02	9.294213e-02
-4.100000e+00	-3.900000e+00	7.220000e-01	8.515973e-02	8.515973e-02
-3.900000e+00	-3.700000e+00	5.178000e-01	7.289890e-02	7.289890e-02
-3.700000e+00	-3.500000e+00	3.079000e-01	5.835409e-02	5.835409e-02
-3.500000e+00	-3.300000e+00	1.371000e-01	4.284880e-02	4.284880e-02
-3.300000e+00	-3.100000e+00	6.730000e-02	3.184965e-02	3.184965e-02
-3.100000e+00	-2.900000e+00	3.030000e-02	2.125653e-02	2.125653e-02
-2.900000e+00	-2.700000e+00	2.300000e-03	1.125877e-02	1.125877e-02
-2.700000e+00	-2.500000e+00	8.000000e-04	7.316420e-03	7.316420e-03
-2.500000e+00	-2.300000e+00	1.600000e-03	5.742822e-03	5.742822e-03
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d230-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d230-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
-5.100000e+00	-4.900000e+00	9.995620e-01	4.471156e-04	4.471156e-04
-4.900000e+00	-4.700000e+00	9.982540e-01	4.468230e-04	4.468230e-04
-4.700000e+00	-4.500000e+00	9.928090e-01	4.456027e-04	4.456027e-04
-4.500000e+00	-4.300000e+00	9.736525e-01	4.412828e-04	4.412828e-04
-4.300000e+00	-4.100000e+00	9.223175e-01	4.294922e-04	4.294922e-04
-4.100000e+00	-3.900000e+00	8.184390e-01	4.045835e-04	4.045835e-04
-3.900000e+00	-3.700000e+00	6.591685e-01	3.630891e-04	3.630891e-04
-3.700000e+00	-3.500000e+00	4.710064e-01	3.069223e-04	3.069223e-04
-3.500000e+00	-3.300000e+00	2.947190e-01	2.427834e-04	2.427834e-04
-3.300000e+00	-3.100000e+00	1.604964e-01	1.791627e-04	1.791627e-04
-3.100000e+00	-2.900000e+00	7.661420e-02	1.237855e-04	1.237855e-04
-2.900000e+00	-2.700000e+00	3.248360e-02	8.060223e-05	8.060223e-05
-2.700000e+00	-2.500000e+00	1.221580e-02	4.942833e-05	4.942833e-05
-2.500000e+00	-2.300000e+00	3.965400e-03	2.816168e-05	2.816168e-05
# END HISTO1D

