# BEGIN PLOT
Legend=1
LogY=1
Title=$\geq$6-jet fraction ($E_\mathrm{CMS}=206$ GeV)
XLabel=$\log(y_\mathrm{cut})$
YLabel=$\sigma(\geq\mathrm{6~jet})/\sigma(\mathrm{inclusive})$
LegendXPos=0.05
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d234-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d234-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d234-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d234-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d234-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d234-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d234-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d234-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d234-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.100000e+00	-4.900000e+00	9.927000e-01	2.733368e-02	2.733368e-02
-4.900000e+00	-4.700000e+00	9.896000e-01	2.722444e-02	2.722444e-02
-4.700000e+00	-4.500000e+00	9.743000e-01	2.699815e-02	2.699815e-02
-4.500000e+00	-4.300000e+00	9.204000e-01	2.663607e-02	2.663607e-02
-4.300000e+00	-4.100000e+00	8.021000e-01	2.571789e-02	2.571789e-02
-4.100000e+00	-3.900000e+00	6.314000e-01	2.473095e-02	2.473095e-02
-3.900000e+00	-3.700000e+00	4.352000e-01	2.383212e-02	2.383212e-02
-3.700000e+00	-3.500000e+00	2.596000e-01	2.136212e-02	2.136212e-02
-3.500000e+00	-3.300000e+00	1.474000e-01	1.598061e-02	1.598061e-02
-3.300000e+00	-3.100000e+00	7.150000e-02	9.794386e-03	9.794386e-03
-3.100000e+00	-2.900000e+00	3.830000e-02	6.576473e-03	6.576473e-03
-2.900000e+00	-2.700000e+00	1.790000e-02	5.281098e-03	5.281098e-03
-2.700000e+00	-2.500000e+00	7.300000e-03	3.848376e-03	3.848376e-03
-2.500000e+00	-2.300000e+00	1.200000e-03	3.130495e-03	3.130495e-03
