# BEGIN PLOT
Legend=1
LogY=1
Title=Charged particle spectrum ($E_\mathrm{CMS}=206$ GeV)
XLabel=$x_E$
YLabel=$1/\sigma \, \mathrm{d}{\sigma}/\mathrm{d}{x_E}$
FullRange=1
DrawOnly=/ALEPH_2004_S5765862/d26-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d26-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d26-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d26-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d26-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d26-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d26-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d26-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d26-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	2.000000e-02	5.487487e+02	7.110584e+00	7.110584e+00
2.000000e-02	3.000000e-02	3.033171e+02	4.970142e+00	4.970142e+00
3.000000e-02	4.000000e-02	2.024330e+02	3.338607e+00	3.338607e+00
4.000000e-02	5.000000e-02	1.487481e+02	2.827518e+00	2.827518e+00
5.000000e-02	6.000000e-02	1.068401e+02	2.324803e+00	2.324803e+00
6.000000e-02	7.000000e-02	8.679000e+01	2.094772e+00	2.094772e+00
7.000000e-02	8.000000e-02	6.949240e+01	1.755121e+00	1.755121e+00
8.000000e-02	9.000000e-02	5.605740e+01	1.676900e+00	1.676900e+00
9.000000e-02	1.000000e-01	4.648440e+01	1.482506e+00	1.482506e+00
1.000000e-01	1.200000e-01	3.684710e+01	9.211683e-01	9.211683e-01
1.200000e-01	1.400000e-01	2.735960e+01	7.771469e-01	7.771469e-01
1.400000e-01	1.600000e-01	2.035700e+01	6.678343e-01	6.678343e-01
1.600000e-01	1.800000e-01	1.503270e+01	5.841903e-01	5.841903e-01
1.800000e-01	2.000000e-01	1.163600e+01	5.204374e-01	5.204374e-01
2.000000e-01	2.500000e-01	8.234500e+00	2.821389e-01	2.821389e-01
2.500000e-01	3.000000e-01	4.638300e+00	2.073151e-01	2.073151e-01
3.000000e-01	4.000000e-01	2.665300e+00	1.091848e-01	1.091848e-01
4.000000e-01	5.000000e-01	1.165100e+00	6.924579e-02	6.924579e-02
5.000000e-01	6.000000e-01	3.300000e-01	4.001962e-02	4.001962e-02
6.000000e-01	7.000000e-01	1.607000e-01	2.918219e-02	2.918219e-02
7.000000e-01	8.000000e-01	7.270000e-02	2.105232e-02	2.105232e-02
8.000000e-01	1.000000e+00	1.760000e-02	6.684310e-03	6.684310e-03
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d26-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d26-x01-y01
ScaledBy=1.00009600921688489e-06
Title=My Shower
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	2.000000e-02	5.251467e+02	2.291718e-01	2.291718e-01
2.000000e-02	3.000000e-02	2.905027e+02	1.704496e-01	1.704496e-01
3.000000e-02	4.000000e-02	1.909687e+02	1.381981e-01	1.381981e-01
4.000000e-02	5.000000e-02	1.366777e+02	1.169148e-01	1.169148e-01
5.000000e-02	6.000000e-02	1.028858e+02	1.014375e-01	1.014375e-01
6.000000e-02	7.000000e-02	8.038042e+01	8.965943e-02	8.965943e-02
7.000000e-02	8.000000e-02	6.459250e+01	8.037332e-02	8.037332e-02
