# BEGIN PLOT
Legend=1
LogY=1
Title=In-plane $p_\perp$ in GeV w.r.t. thrust axes ($E_\mathrm{CMS}=172$ GeV)
XLabel=$p_\perp^\mathrm{in}$ / GeV
YLabel=$N \, \mathrm{d}{\sigma}/\mathrm{d}{p_\perp^\mathrm{in}}$
FullRange=1
DrawOnly=/ALEPH_2004_S5765862/d29-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d29-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d29-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d29-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d29-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d29-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d29-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	5.300000e+01	2.971750e+00	2.971750e+00
5.000000e-02	1.000000e-01	4.820000e+01	2.720826e+00	2.720826e+00
1.000000e-01	1.500000e-01	4.730000e+01	2.744429e+00	2.744429e+00
1.500000e-01	2.000000e-01	4.050000e+01	2.269828e+00	2.269828e+00
2.000000e-01	2.500000e-01	3.350000e+01	2.005767e+00	2.005767e+00
2.500000e-01	3.000000e-01	2.780000e+01	1.700504e+00	1.700504e+00
3.000000e-01	3.500000e-01	2.700000e+01	1.704106e+00	1.704106e+00
3.500000e-01	4.000000e-01	2.110000e+01	1.617655e+00	1.617655e+00
4.000000e-01	4.500000e-01	1.780000e+01	1.565044e+00	1.565044e+00
4.500000e-01	5.000000e-01	1.520000e+01	1.345088e+00	1.345088e+00
5.000000e-01	6.000000e-01	1.360000e+01	9.607351e-01	9.607351e-01
6.000000e-01	7.000000e-01	1.200000e+01	8.171487e-01	8.171487e-01
7.000000e-01	8.000000e-01	8.470000e+00	6.866710e-01	6.866710e-01
8.000000e-01	1.000000e+00	6.730000e+00	4.707558e-01	4.707558e-01
1.000000e+00	1.200000e+00	4.720000e+00	3.934804e-01	3.934804e-01
1.200000e+00	1.400000e+00	2.890000e+00	3.074610e-01	3.074610e-01
1.400000e+00	1.600000e+00	2.790000e+00	3.243449e-01	3.243449e-01
1.600000e+00	1.800000e+00	2.200000e+00	2.810805e-01	2.810805e-01
1.800000e+00	2.000000e+00	1.580000e+00	2.268657e-01	2.268657e-01
2.000000e+00	2.500000e+00	1.370000e+00	1.647690e-01	1.647690e-01
2.500000e+00	3.000000e+00	7.880000e-01	1.144404e-01	1.144404e-01
3.000000e+00	3.500000e+00	7.810000e-01	1.125487e-01	1.125487e-01
3.500000e+00	4.000000e+00	2.680000e-01	6.397953e-02	6.397953e-02
4.000000e+00	5.000000e+00	1.500000e-01	4.198755e-02	4.198755e-02
5.000000e+00	6.000000e+00	1.150000e-01	3.519714e-02	3.519714e-02
6.000000e+00	7.000000e+00	8.170000e-02	2.720431e-02	2.720431e-02
7.000000e+00	8.000000e+00	4.850000e-02	1.858833e-02	1.858833e-02
8.000000e+00	1.000000e+01	2.360000e-02	1.071954e-02	1.071954e-02
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d29-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d29-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	4.861930e+01	1.394551e-02	1.394551e-02
5.000000e-02	1.000000e-01	4.799880e+01	1.385623e-02	1.385623e-02
1.000000e-01	1.500000e-01	4.342014e+01	1.317879e-02	1.317879e-02
1.500000e-01	2.000000e-01	3.838022e+01	1.239036e-02	1.239036e-02
2.000000e-01	2.500000e-01	3.351358e+01	1.157818e-02	1.157818e-02
2.500000e-01	3.000000e-01	2.913868e+01	1.079605e-02	1.079605e-02
3.000000e-01	3.500000e-01	2.528572e+01	1.005698e-02	1.005698e-02
3.500000e-01	4.000000e-01	2.193854e+01	9.367721e-03	9.367721e-03
4.000000e-01	4.500000e-01	1.914190e+01	8.750291e-03	8.750291e-03
4.500000e-01	5.000000e-01	1.677023e+01	8.190294e-03	8.190294e-03
5.000000e-01	6.000000e-01	1.393157e+01	5.278555e-03	5.278555e-03
6.000000e-01	7.000000e-01	1.103684e+01	4.698262e-03	4.698262e-03
7.000000e-01	8.000000e-01	8.889832e+00	4.216593e-03	4.216593e-03
8.000000e-01	1.000000e+00	6.669040e+00	2.582448e-03	2.582448e-03
1.000000e+00	1.200000e+00	4.694469e+00	2.166673e-03	2.166673e-03
1.200000e+00	1.400000e+00	3.434553e+00	1.853255e-03	1.853255e-03
1.400000e+00	1.600000e+00	2.585600e+00	1.607980e-03	1.607980e-03
1.600000e+00	1.800000e+00	1.994320e+00	1.412204e-03	1.412204e-03
1.800000e+00	2.000000e+00	1.572331e+00	1.253926e-03	1.253926e-03
2.000000e+00	2.500000e+00	1.082396e+00	6.579957e-04	6.579957e-04
2.500000e+00	3.000000e+00	6.674096e-01	5.166854e-04	5.166854e-04
3.000000e+00	3.500000e+00	4.354728e-01	4.173597e-04	4.173597e-04
3.500000e+00	4.000000e+00	2.970188e-01	3.446847e-04	3.446847e-04
4.000000e+00	5.000000e+00	1.812810e-01	1.904106e-04	1.904106e-04
5.000000e+00	6.000000e+00	9.970200e-02	1.412105e-04	1.412105e-04
6.000000e+00	7.000000e+00	5.887860e-02	1.085160e-04	1.085160e-04
7.000000e+00	8.000000e+00	3.661320e-02	8.557243e-05	8.557243e-05
8.000000e+00	1.000000e+01	1.965140e-02	4.432990e-05	4.432990e-05
# END HISTO1D

