# BEGIN PLOT
Legend=1
LogY=1
Title=In-plane $p_\perp$ in GeV w.r.t. thrust axes ($E_\mathrm{CMS}=206$ GeV)
XLabel=$p_\perp^\mathrm{in}$ / GeV
YLabel=$N \, \mathrm{d}{\sigma}/\mathrm{d}{p_\perp^\mathrm{in}}$
FullRange=1
DrawOnly=/ALEPH_2004_S5765862/d34-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d34-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d34-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d34-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d34-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d34-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d34-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d34-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d34-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	6.020000e+01	9.383187e-01	9.383187e-01
5.000000e-02	1.000000e-01	5.280000e+01	8.742471e-01	8.742471e-01
1.000000e-01	1.500000e-01	4.760000e+01	8.855874e-01	8.855874e-01
1.500000e-01	2.000000e-01	4.060000e+01	6.840300e-01	6.840300e-01
2.000000e-01	2.500000e-01	3.620000e+01	6.349055e-01	6.349055e-01
2.500000e-01	3.000000e-01	3.130000e+01	5.994639e-01	5.994639e-01
3.000000e-01	3.500000e-01	2.760000e+01	5.349178e-01	5.349178e-01
3.500000e-01	4.000000e-01	2.260000e+01	5.034322e-01	5.034322e-01
4.000000e-01	4.500000e-01	2.020000e+01	4.645439e-01	4.645439e-01
4.500000e-01	5.000000e-01	1.870000e+01	4.657832e-01	4.657832e-01
5.000000e-01	6.000000e-01	1.470000e+01	3.342110e-01	3.342110e-01
6.000000e-01	7.000000e-01	1.160000e+01	2.668520e-01	2.668520e-01
7.000000e-01	8.000000e-01	9.050000e+00	2.315757e-01	2.315757e-01
8.000000e-01	1.000000e+00	7.000000e+00	1.569145e-01	1.569145e-01
1.000000e+00	1.200000e+00	4.940000e+00	1.267976e-01	1.267976e-01
1.200000e+00	1.400000e+00	3.490000e+00	1.112178e-01	1.112178e-01
1.400000e+00	1.600000e+00	2.990000e+00	1.052369e-01	1.052369e-01
1.600000e+00	1.800000e+00	2.190000e+00	8.714339e-02	8.714339e-02
1.800000e+00	2.000000e+00	1.820000e+00	8.277633e-02	8.277633e-02
2.000000e+00	2.500000e+00	1.220000e+00	4.887013e-02	4.887013e-02
2.500000e+00	3.000000e+00	8.260000e-01	4.212838e-02	4.212838e-02
3.000000e+00	3.500000e+00	4.960000e-01	3.282986e-02	3.282986e-02
3.500000e+00	4.000000e+00	3.450000e-01	2.646224e-02	2.646224e-02
4.000000e+00	5.000000e+00	2.190000e-01	1.638954e-02	1.638954e-02
5.000000e+00	6.000000e+00	1.210000e-01	1.199857e-02	1.199857e-02
6.000000e+00	7.000000e+00	9.070000e-02	9.742140e-03	9.742140e-03
7.000000e+00	8.000000e+00	4.450000e-02	7.305477e-03	7.305477e-03
8.000000e+00	1.000000e+01	2.060000e-02	4.430813e-03	4.430813e-03
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d34-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d34-x01-y01
ScaledBy=1.00009600921688489e-06
Title=My Shower
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	5.479468e+01	3.310587e-02	3.310587e-02
