# BEGIN PLOT
Legend=1
LogY=1
Title=Out-of-plane $p_\perp$ in GeV w.r.t. thrust axes ($E_\mathrm{CMS}=206$ GeV)
XLabel=$p_\perp^\mathrm{out}$ / GeV
YLabel=$N \, \mathrm{d}{\sigma}/\mathrm{d}{p_\perp^\mathrm{out}}$
FullRange=1
DrawOnly=/ALEPH_2004_S5765862/d35-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d35-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d35-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d35-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d35-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d35-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d35-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d35-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d35-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	8.400000e+01	1.039423e+00	1.039423e+00
5.000000e-02	1.000000e-01	7.590000e+01	9.641188e-01	9.641188e-01
1.000000e-01	1.500000e-01	6.670000e+01	8.809733e-01	8.809733e-01
1.500000e-01	2.000000e-01	5.670000e+01	7.743191e-01	7.743191e-01
2.000000e-01	2.500000e-01	4.850000e+01	7.487089e-01	7.487089e-01
2.500000e-01	3.000000e-01	3.840000e+01	6.681078e-01	6.681078e-01
3.000000e-01	3.500000e-01	3.180000e+01	5.950101e-01	5.950101e-01
3.500000e-01	4.000000e-01	2.560000e+01	5.404082e-01	5.404082e-01
4.000000e-01	4.500000e-01	2.100000e+01	4.828923e-01	4.828923e-01
4.500000e-01	5.000000e-01	1.750000e+01	4.277106e-01	4.277106e-01
5.000000e-01	6.000000e-01	1.250000e+01	2.821790e-01	2.821790e-01
6.000000e-01	7.000000e-01	8.430000e+00	2.451061e-01	2.451061e-01
7.000000e-01	8.000000e-01	6.100000e+00	1.965383e-01	1.965383e-01
8.000000e-01	1.000000e+00	3.690000e+00	1.239937e-01	1.239937e-01
1.000000e+00	1.200000e+00	2.030000e+00	9.487349e-02	9.487349e-02
1.200000e+00	1.400000e+00	1.150000e+00	7.263752e-02	7.263752e-02
1.400000e+00	1.600000e+00	6.950000e-01	5.610962e-02	5.610962e-02
1.600000e+00	1.800000e+00	4.750000e-01	4.511298e-02	4.511298e-02
1.800000e+00	2.000000e+00	4.320000e-01	4.402749e-02	4.402749e-02
2.000000e+00	2.500000e+00	1.830000e-01	2.276357e-02	2.276357e-02
2.500000e+00	3.000000e+00	8.910000e-02	1.694549e-02	1.694549e-02
3.000000e+00	3.500000e+00	5.030000e-02	1.352865e-02	1.352865e-02
3.500000e+00	4.000000e+00	2.430000e-02	9.260346e-03	9.260346e-03
4.000000e+00	5.000000e+00	1.670000e-02	5.699140e-03	5.699140e-03
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d35-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d35-x01-y01
ScaledBy=1.00009600921688489e-06
Title=My Shower
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	8.431988e+01	4.106774e-02	4.106774e-02
5.000000e-02	1.000000e-01	7.559702e+01	3.888554e-02	3.888554e-02
1.000000e-01	1.500000e-01	6.624216e+01	3.640014e-02	3.640014e-02
1.500000e-01	2.000000e-01	5.645900e+01	3.360489e-02	3.360489e-02
2.000000e-01	2.500000e-01	4.707942e+01	3.068679e-02	3.068679e-02
2.500000e-01	3.000000e-01	3.865188e+01	2.780488e-02	2.780488e-02
3.000000e-01	3.500000e-01	3.133292e+01	2.503435e-02	2.503435e-02
3.500000e-01	4.000000e-01	2.524916e+01	2.247291e-02	2.247291e-02
4.000000e-01	4.500000e-01	2.038644e+01	2.019327e-02	2.019327e-02
4.500000e-01	5.000000e-01	1.642674e+01	1.812640e-02	1.812640e-02
5.000000e-01	6.000000e-01	1.212476e+01	1.101178e-02	1.101178e-02
6.000000e-01	7.000000e-01	8.181655e+00	9.045685e-03	9.045685e-03
7.000000e-01	8.000000e-01	5.644672e+00	7.513464e-03	7.513464e-03
8.000000e-01	1.000000e+00	3.460337e+00	4.159729e-03	4.159729e-03
1.000000e+00	1.200000e+00	1.910919e+00	3.091199e-03	3.091199e-03
1.200000e+00	1.400000e+00	1.134904e+00	2.382239e-03	2.382239e-03
1.400000e+00	1.600000e+00	7.207340e-01	1.898425e-03	1.898425e-03
1.600000e+00	1.800000e+00	4.772308e-01	1.544792e-03	1.544792e-03
1.800000e+00	2.000000e+00	3.304417e-01	1.285444e-03	1.285444e-03
2.000000e+00	2.500000e+00	1.911283e-01	6.182988e-04	6.182988e-04
2.500000e+00	3.000000e+00	9.397502e-02	4.335529e-04	4.335529e-04
3.000000e+00	3.500000e+00	5.033484e-02	3.173000e-04	3.173000e-04
3.500000e+00	4.000000e+00	2.959684e-02	2.433092e-04	2.433092e-04
4.000000e+00	5.000000e+00	1.421336e-02	1.192255e-04	1.192255e-04
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d35-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d35-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	7.828724e+01	1.769602e-02	1.769602e-02
5.000000e-02	1.000000e-01	6.982172e+01	1.671188e-02	1.671188e-02
1.000000e-01	1.500000e-01	6.110664e+01	1.563415e-02	1.563415e-02
1.500000e-01	2.000000e-01	5.223552e+01	1.445483e-02	1.445483e-02
2.000000e-01	2.500000e-01	4.399704e+01	1.326605e-02	1.326605e-02
2.500000e-01	3.000000e-01	3.668480e+01	1.211359e-02	1.211359e-02
3.000000e-01	3.500000e-01	3.041964e+01	1.103080e-02	1.103080e-02
3.500000e-01	4.000000e-01	2.516886e+01	1.003372e-02	1.003372e-02
4.000000e-01	4.500000e-01	2.083588e+01	9.129267e-03	9.129267e-03
4.500000e-01	5.000000e-01	1.732445e+01	8.324530e-03	8.324530e-03
5.000000e-01	6.000000e-01	1.330722e+01	5.158918e-03	5.158918e-03
6.000000e-01	7.000000e-01	9.470994e+00	4.352240e-03	4.352240e-03
7.000000e-01	8.000000e-01	6.878068e+00	3.708927e-03	3.708927e-03
8.000000e-01	1.000000e+00	4.460695e+00	2.112036e-03	2.112036e-03
1.000000e+00	1.200000e+00	2.600834e+00	1.612710e-03	1.612710e-03
1.200000e+00	1.400000e+00	1.600779e+00	1.265219e-03	1.265219e-03
1.400000e+00	1.600000e+00	1.029984e+00	1.014881e-03	1.014881e-03
1.600000e+00	1.800000e+00	6.871500e-01	8.289451e-04	8.289451e-04
1.800000e+00	2.000000e+00	4.711640e-01	6.864139e-04	6.864139e-04
2.000000e+00	2.500000e+00	2.664296e-01	3.264534e-04	3.264534e-04
2.500000e+00	3.000000e+00	1.246260e-01	2.232720e-04	2.232720e-04
3.000000e+00	3.500000e+00	6.427080e-02	1.603381e-04	1.603381e-04
3.500000e+00	4.000000e+00	3.529520e-02	1.188195e-04	1.188195e-04
4.000000e+00	5.000000e+00	1.645140e-02	5.736096e-05	5.736096e-05
# END HISTO1D

