# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity w.r.t. thrust axes, $y_T$ ($E_\mathrm{CMS}=200$ GeV)
XLabel=$y_T$
YLabel=$N \, \mathrm{d}{\sigma}/\mathrm{d}{y_T}$
FullRange=1
LegendXPos=0.05
LegendYPos=0.2
DrawOnly=/ALEPH_2004_S5765862/d42-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d42-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d42-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d42-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d42-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d42-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d42-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	6.810500e+00	3.265324e-01	3.265324e-01
2.500000e-01	5.000000e-01	7.648300e+00	3.674120e-01	3.674120e-01
5.000000e-01	7.500000e-01	7.856500e+00	3.464793e-01	3.464793e-01
7.500000e-01	1.000000e+00	7.948300e+00	2.889807e-01	2.889807e-01
1.000000e+00	1.250000e+00	8.443200e+00	2.720605e-01	2.720605e-01
1.250000e+00	1.500000e+00	8.390400e+00	2.338944e-01	2.338944e-01
1.500000e+00	1.750000e+00	7.974800e+00	2.124780e-01	2.124780e-01
1.750000e+00	2.000000e+00	7.621100e+00	1.899339e-01	1.899339e-01
2.000000e+00	2.250000e+00	7.349500e+00	1.847764e-01	1.847764e-01
2.250000e+00	2.500000e+00	7.166500e+00	1.791197e-01	1.791197e-01
2.500000e+00	2.750000e+00	6.580400e+00	1.639889e-01	1.639889e-01
2.750000e+00	3.000000e+00	5.904000e+00	1.427775e-01	1.427775e-01
3.000000e+00	3.250000e+00	4.949200e+00	1.251593e-01	1.251593e-01
3.250000e+00	3.500000e+00	4.469500e+00	1.209445e-01	1.209445e-01
3.500000e+00	3.750000e+00	3.526200e+00	1.131947e-01	1.131947e-01
3.750000e+00	4.000000e+00	2.725600e+00	9.466177e-02	9.466177e-02
4.000000e+00	4.250000e+00	1.890500e+00	7.958555e-02	7.958555e-02
4.250000e+00	4.500000e+00	1.433800e+00	6.680007e-02	6.680007e-02
4.500000e+00	5.000000e+00	7.535000e-01	3.482126e-02	3.482126e-02
5.000000e+00	5.500000e+00	2.288000e-01	1.884808e-02	1.884808e-02
5.500000e+00	6.000000e+00	5.310000e-02	9.577056e-03	9.577056e-03
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d42-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d42-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	7.503536e+00	2.450067e-03	2.450067e-03
2.500000e-01	5.000000e-01	7.990956e+00	2.528392e-03	2.528392e-03
5.000000e-01	7.500000e-01	8.168948e+00	2.556396e-03	2.556396e-03
7.500000e-01	1.000000e+00	8.135048e+00	2.551086e-03	2.551086e-03
1.000000e+00	1.250000e+00	8.000596e+00	2.529916e-03	2.529916e-03
1.250000e+00	1.500000e+00	7.797136e+00	2.497540e-03	2.497540e-03
1.500000e+00	1.750000e+00	7.542984e+00	2.456499e-03	2.456499e-03
1.750000e+00	2.000000e+00	7.240928e+00	2.406812e-03	2.406812e-03
2.000000e+00	2.250000e+00	6.888056e+00	2.347433e-03	2.347433e-03
2.250000e+00	2.500000e+00	6.503652e+00	2.280991e-03	2.280991e-03
2.500000e+00	2.750000e+00	6.062816e+00	2.202329e-03	2.202329e-03
2.750000e+00	3.000000e+00	5.547996e+00	2.106750e-03	2.106750e-03
3.000000e+00	3.250000e+00	4.940380e+00	1.988040e-03	1.988040e-03
3.250000e+00	3.500000e+00	4.226632e+00	1.838833e-03	1.838833e-03
3.500000e+00	3.750000e+00	3.446964e+00	1.660594e-03	1.660594e-03
3.750000e+00	4.000000e+00	2.659906e+00	1.458741e-03	1.458741e-03
4.000000e+00	4.250000e+00	1.925636e+00	1.241172e-03	1.241172e-03
4.250000e+00	4.500000e+00	1.294768e+00	1.017750e-03	1.017750e-03
4.500000e+00	5.000000e+00	6.415908e-01	5.065929e-04	5.065929e-04
5.000000e+00	5.500000e+00	2.012820e-01	2.837478e-04	2.837478e-04
5.500000e+00	6.000000e+00	4.970800e-02	1.410078e-04	1.410078e-04
# END HISTO1D

