# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity w.r.t. thrust axes, $y_T$ ($E_\mathrm{CMS}=206$ GeV)
XLabel=$y_T$
YLabel=$N \, \mathrm{d}{\sigma}/\mathrm{d}{y_T}$
FullRange=1
LegendXPos=0.05
LegendYPos=0.2
DrawOnly=/ALEPH_2004_S5765862/d43-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d43-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d43-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d43-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d43-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d43-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d43-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d43-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d43-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	7.064300e+00	2.521487e-01	2.521487e-01
2.500000e-01	5.000000e-01	7.863500e+00	2.788772e-01	2.788772e-01
5.000000e-01	7.500000e-01	8.256800e+00	2.748131e-01	2.748131e-01
7.500000e-01	1.000000e+00	8.292100e+00	2.432563e-01	2.432563e-01
1.000000e+00	1.250000e+00	8.204900e+00	2.043841e-01	2.043841e-01
1.250000e+00	1.500000e+00	7.963000e+00	1.867088e-01	1.867088e-01
1.500000e+00	1.750000e+00	8.053200e+00	1.795064e-01	1.795064e-01
1.750000e+00	2.000000e+00	7.541800e+00	1.475107e-01	1.475107e-01
2.000000e+00	2.250000e+00	7.363400e+00	1.344188e-01	1.344188e-01
2.250000e+00	2.500000e+00	6.904500e+00	1.276033e-01	1.276033e-01
2.500000e+00	2.750000e+00	6.372700e+00	1.157737e-01	1.157737e-01
2.750000e+00	3.000000e+00	5.776400e+00	1.106722e-01	1.106722e-01
3.000000e+00	3.250000e+00	5.131000e+00	9.974713e-02	9.974713e-02
3.250000e+00	3.500000e+00	4.530400e+00	9.570465e-02	9.570465e-02
3.500000e+00	3.750000e+00	3.681200e+00	8.579610e-02	8.579610e-02
3.750000e+00	4.000000e+00	2.910300e+00	7.391732e-02	7.391732e-02
4.000000e+00	4.250000e+00	2.181300e+00	6.691375e-02	6.691375e-02
4.250000e+00	4.500000e+00	1.464600e+00	5.304573e-02	5.304573e-02
4.500000e+00	5.000000e+00	7.351000e-01	2.906974e-02	2.906974e-02
5.000000e+00	5.500000e+00	2.168000e-01	1.409433e-02	1.409433e-02
5.500000e+00	6.000000e+00	5.750000e-02	8.660831e-03	8.660831e-03
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d43-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d43-x01-y01
ScaledBy=1.00009600921688489e-06
Title=My Shower
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	7.522096e+00	5.485550e-03	5.485550e-03
2.500000e-01	5.000000e-01	8.018388e+00	5.663624e-03	5.663624e-03
5.000000e-01	7.500000e-01	8.190020e+00	5.723916e-03	5.723916e-03
7.500000e-01	1.000000e+00	8.175028e+00	5.718675e-03	5.718675e-03
1.000000e+00	1.250000e+00	8.048780e+00	5.674346e-03	5.674346e-03
1.250000e+00	1.500000e+00	7.825448e+00	5.595069e-03	5.595069e-03
1.500000e+00	1.750000e+00	7.546900e+00	5.494588e-03	5.494588e-03
1.750000e+00	2.000000e+00	7.201844e+00	5.367508e-03	5.367508e-03
2.000000e+00	2.250000e+00	6.825744e+00	5.225476e-03	5.225476e-03
2.250000e+00	2.500000e+00	6.409388e+00	5.063597e-03	5.063597e-03
2.500000e+00	2.750000e+00	5.960160e+00	4.882922e-03	4.882922e-03
2.750000e+00	3.000000e+00	5.470832e+00	4.678188e-03	4.678188e-03
3.000000e+00	3.250000e+00	4.944160e+00	4.447306e-03	4.447306e-03
3.250000e+00	3.500000e+00	4.374192e+00	4.183115e-03	4.183115e-03
3.500000e+00	3.750000e+00	3.755848e+00	3.876188e-03	3.876188e-03
3.750000e+00	4.000000e+00	3.076695e+00	3.508271e-03	3.508271e-03
4.000000e+00	4.250000e+00	2.366667e+00	3.076943e-03	3.076943e-03
4.250000e+00	4.500000e+00	1.690170e+00	2.600256e-03	2.600256e-03
4.500000e+00	5.000000e+00	8.954040e-01	1.338275e-03	1.338275e-03
5.000000e+00	5.500000e+00	3.032192e-01	7.787788e-04	7.787788e-04
5.500000e+00	6.000000e+00	7.792548e-02	3.947986e-04	3.947986e-04
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d43-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d43-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	7.569844e+00	2.460869e-03	2.460869e-03
2.500000e-01	5.000000e-01	8.067828e+00	2.540524e-03	2.540524e-03
5.000000e-01	7.500000e-01	8.231900e+00	2.566226e-03	2.566226e-03
7.500000e-01	1.000000e+00	8.198444e+00	2.561007e-03	2.561007e-03
1.000000e+00	1.250000e+00	8.060160e+00	2.539316e-03	2.539316e-03
1.250000e+00	1.500000e+00	7.859880e+00	2.507569e-03	2.507569e-03
1.500000e+00	1.750000e+00	7.608168e+00	2.467091e-03	2.467091e-03
1.750000e+00	2.000000e+00	7.300660e+00	2.416718e-03	2.416718e-03
2.000000e+00	2.250000e+00	6.945368e+00	2.357179e-03	2.357179e-03
2.250000e+00	2.500000e+00	6.549028e+00	2.288934e-03	2.288934e-03
2.500000e+00	2.750000e+00	6.102648e+00	2.209551e-03	2.209551e-03
2.750000e+00	3.000000e+00	5.593368e+00	2.115347e-03	2.115347e-03
3.000000e+00	3.250000e+00	4.987592e+00	1.997517e-03	1.997517e-03
3.250000e+00	3.500000e+00	4.280792e+00	1.850577e-03	1.850577e-03
3.500000e+00	3.750000e+00	3.509049e+00	1.675482e-03	1.675482e-03
