# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity w.r.t. sphericity axes, $y_S$ ($E_\mathrm{CMS}=161$ GeV)
XLabel=$y_S$
YLabel=$N \, \mathrm{d}{\sigma}/\mathrm{d}{y_S}$
FullRange=1
LegendXPos=0.05
LegendYPos=0.2
DrawOnly=/ALEPH_2004_S5765862/d45-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d45-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d45-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d45-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d45-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d45-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d45-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	8.661700e+00	7.190422e-01	7.190422e-01
2.500000e-01	5.000000e-01	8.975900e+00	6.855112e-01	6.855112e-01
5.000000e-01	7.500000e-01	9.120800e+00	6.416214e-01	6.416214e-01
7.500000e-01	1.000000e+00	7.791400e+00	5.164112e-01	5.164112e-01
1.000000e+00	1.250000e+00	8.693500e+00	5.222269e-01	5.222269e-01
1.250000e+00	1.500000e+00	8.275900e+00	5.042159e-01	5.042159e-01
1.500000e+00	1.750000e+00	7.472700e+00	4.440772e-01	4.440772e-01
1.750000e+00	2.000000e+00	7.261100e+00	4.572902e-01	4.572902e-01
2.000000e+00	2.250000e+00	7.533600e+00	4.136631e-01	4.136631e-01
2.250000e+00	2.500000e+00	6.255600e+00	3.478127e-01	3.478127e-01
2.500000e+00	2.750000e+00	5.681400e+00	3.463354e-01	3.463354e-01
2.750000e+00	3.000000e+00	5.604600e+00	3.036801e-01	3.036801e-01
3.000000e+00	3.250000e+00	4.502700e+00	2.898133e-01	2.898133e-01
3.250000e+00	3.500000e+00	3.888200e+00	2.815354e-01	2.815354e-01
3.500000e+00	3.750000e+00	2.869200e+00	1.980911e-01	1.980911e-01
3.750000e+00	4.000000e+00	2.056600e+00	1.915363e-01	1.915363e-01
4.000000e+00	4.250000e+00	1.395100e+00	1.442057e-01	1.442057e-01
4.250000e+00	4.500000e+00	9.742000e-01	1.179943e-01	1.179943e-01
4.500000e+00	5.000000e+00	4.599000e-01	5.719379e-02	5.719379e-02
5.000000e+00	5.500000e+00	1.499000e-01	3.044815e-02	3.044815e-02
5.500000e+00	6.000000e+00	3.770000e-02	1.361249e-02	1.361249e-02
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d45-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d45-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	7.896760e+00	2.513445e-03	2.513445e-03
2.500000e-01	5.000000e-01	7.714516e+00	2.484273e-03	2.484273e-03
5.000000e-01	7.500000e-01	7.552440e+00	2.458038e-03	2.458038e-03
7.500000e-01	1.000000e+00	7.419084e+00	2.436241e-03	2.436241e-03
1.000000e+00	1.250000e+00	7.275172e+00	2.412496e-03	2.412496e-03
1.250000e+00	1.500000e+00	7.110720e+00	2.385074e-03	2.385074e-03
1.500000e+00	1.750000e+00	6.935252e+00	2.355462e-03	2.355462e-03
1.750000e+00	2.000000e+00	6.721592e+00	2.318895e-03	2.318895e-03
2.000000e+00	2.250000e+00	6.477628e+00	2.276423e-03	2.276423e-03
2.250000e+00	2.500000e+00	6.181676e+00	2.223812e-03	2.223812e-03
2.500000e+00	2.750000e+00	5.783776e+00	2.151051e-03	2.151051e-03
2.750000e+00	3.000000e+00	5.242676e+00	2.047960e-03	2.047960e-03
3.000000e+00	3.250000e+00	4.552308e+00	1.908363e-03	1.908363e-03
3.250000e+00	3.500000e+00	3.758799e+00	1.734082e-03	1.734082e-03
3.500000e+00	3.750000e+00	2.938404e+00	1.533207e-03	1.533207e-03
3.750000e+00	4.000000e+00	2.164467e+00	1.315893e-03	1.315893e-03
4.000000e+00	4.250000e+00	1.491860e+00	1.092469e-03	1.092469e-03
4.250000e+00	4.500000e+00	9.643000e-01	8.783166e-04	8.783166e-04
4.500000e+00	5.000000e+00	4.692944e-01	4.332641e-04	4.332641e-04
5.000000e+00	5.500000e+00	1.476568e-01	2.430282e-04	2.430282e-04
5.500000e+00	6.000000e+00	3.903840e-02	1.249614e-04	1.249614e-04
# END HISTO1D

