# BEGIN PLOT
Legend=1
LogY=1
Title=Thrust ($E_\mathrm{CMS}=172$ GeV)
XLabel=$1-T$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}(1-T)$
LegendYPos=0.8
DrawOnly=/ALEPH_2004_S5765862/d57-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d57-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d57-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d57-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d57-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d57-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d57-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	1.603900e+01	2.121406e+00	2.121406e+00
2.000000e-02	4.000000e-02	1.260990e+01	1.569088e+00	1.569088e+00
4.000000e-02	6.000000e-02	6.038200e+00	1.090888e+00	1.090888e+00
6.000000e-02	8.000000e-02	4.432400e+00	9.639514e-01	9.639514e-01
8.000000e-02	1.200000e-01	2.211700e+00	5.090373e-01	5.090373e-01
1.200000e-01	1.600000e-01	3.992000e-01	3.010711e-01	3.010711e-01
1.600000e-01	2.000000e-01	1.637900e+00	5.402336e-01	5.402336e-01
2.000000e-01	2.500000e-01	4.794000e-01	3.014339e-01	3.014339e-01
2.500000e-01	3.000000e-01	6.713000e-01	2.941932e-01	2.941932e-01
3.000000e-01	4.000000e-01	-9.880000e-02	1.357240e-02	1.357240e-02
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d57-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d57-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	1.374997e+01	1.172603e-02	1.172603e-02
2.000000e-02	4.000000e-02	1.320990e+01	1.149343e-02	1.149343e-02
4.000000e-02	6.000000e-02	7.122060e+00	8.439230e-03	8.439230e-03
6.000000e-02	8.000000e-02	4.387270e+00	6.623647e-03	6.623647e-03
8.000000e-02	1.200000e-01	2.506920e+00	3.540424e-03	3.540424e-03
1.200000e-01	1.600000e-01	1.335475e+00	2.584062e-03	2.584062e-03
1.600000e-01	2.000000e-01	7.903150e-01	1.987857e-03	1.987857e-03
2.000000e-01	2.500000e-01	4.857960e-01	1.393981e-03	1.393981e-03
2.500000e-01	3.000000e-01	2.844240e-01	1.066628e-03	1.066628e-03
3.000000e-01	4.000000e-01	6.731400e-02	3.669169e-04	3.669169e-04
# END HISTO1D

