# BEGIN PLOT
Legend=1
LogY=1
Title=Heavy jet mass ($E_\mathrm{CMS}=91.2$ GeV)
XLabel=$\rho$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\rho$
LegendXPos=0.25
LegendYPos=0.8
DrawOnly=/ALEPH_2004_S5765862/d62-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d62-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d62-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d62-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d62-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d62-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d62-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.228340e+00	1.291199e-01	1.291199e-01
1.000000e-02	2.000000e-02	2.149605e+01	5.953742e-01	5.953742e-01
2.000000e-02	3.000000e-02	2.050343e+01	5.246451e-01	5.246451e-01
3.000000e-02	4.000000e-02	1.273049e+01	3.080670e-01	3.080670e-01
4.000000e-02	5.000000e-02	8.716700e+00	2.136928e-01	2.136928e-01
5.000000e-02	6.000000e-02	6.430140e+00	1.593976e-01	1.593976e-01
6.000000e-02	7.000000e-02	4.915030e+00	7.965205e-02	7.965205e-02
7.000000e-02	8.000000e-02	3.887470e+00	6.345432e-02	6.345432e-02
8.000000e-02	9.000000e-02	3.100650e+00	7.151053e-02	7.151053e-02
9.000000e-02	1.000000e-01	2.595190e+00	4.789683e-02	4.789683e-02
1.000000e-01	1.100000e-01	2.116200e+00	4.645877e-02	4.645877e-02
1.100000e-01	1.200000e-01	1.784930e+00	3.325303e-02	3.325303e-02
1.200000e-01	1.300000e-01	1.509180e+00	3.235236e-02	3.235236e-02
1.300000e-01	1.400000e-01	1.273050e+00	3.095099e-02	3.095099e-02
1.400000e-01	1.500000e-01	1.082150e+00	3.301103e-02	3.301103e-02
1.500000e-01	1.600000e-01	9.341100e-01	2.663496e-02	2.663496e-02
1.600000e-01	1.700000e-01	7.851600e-01	2.082253e-02	2.082253e-02
1.700000e-01	1.800000e-01	6.663300e-01	2.088102e-02	2.088102e-02
1.800000e-01	1.900000e-01	5.871300e-01	2.583686e-02	2.583686e-02
1.900000e-01	2.000000e-01	4.730100e-01	2.619064e-02	2.619064e-02
2.000000e-01	2.100000e-01	4.249800e-01	2.275567e-02	2.275567e-02
2.100000e-01	2.200000e-01	3.603400e-01	1.059483e-02	1.059483e-02
2.200000e-01	2.300000e-01	2.980900e-01	9.827370e-03	9.827370e-03
2.300000e-01	2.400000e-01	2.544100e-01	1.031435e-02	1.031435e-02
2.400000e-01	2.500000e-01	2.120200e-01	8.368333e-03	8.368333e-03
2.500000e-01	2.600000e-01	1.715300e-01	1.130048e-02	1.130048e-02
2.600000e-01	2.700000e-01	1.366300e-01	6.476836e-03	6.476836e-03
2.700000e-01	2.800000e-01	1.163200e-01	7.774021e-03	7.774021e-03
2.800000e-01	2.900000e-01	8.174000e-02	4.515595e-03	4.515595e-03
2.900000e-01	3.000000e-01	5.312000e-02	7.186355e-03	7.186355e-03
3.000000e-01	3.100000e-01	3.720000e-02	4.265032e-03	4.265032e-03
3.100000e-01	3.200000e-01	2.313000e-02	2.273390e-03	2.273390e-03
3.200000e-01	3.300000e-01	1.026000e-02	1.140877e-03	1.140877e-03
3.300000e-01	3.400000e-01	3.240000e-03	1.516575e-03	1.516575e-03
3.400000e-01	3.500000e-01	1.570000e-03	6.879680e-04	6.879680e-04
3.500000e-01	3.600000e-01	4.100000e-04	1.870829e-04	1.870829e-04
3.600000e-01	3.700000e-01	1.600000e-04	1.135782e-04	1.135782e-04
3.700000e-01	3.800000e-01	7.000000e-05	4.582576e-05	4.582576e-05
3.800000e-01	3.900000e-01	4.000000e-05	2.449490e-05	2.449490e-05
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d62-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d62-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.086860e+00	7.857302e-03	7.857302e-03
1.000000e-02	2.000000e-02	1.909348e+01	1.954148e-02	1.954148e-02
2.000000e-02	3.000000e-02	1.858072e+01	1.927730e-02	1.927730e-02
3.000000e-02	4.000000e-02	1.313326e+01	1.620695e-02	1.620695e-02
4.000000e-02	5.000000e-02	9.409400e+00	1.371816e-02	1.371816e-02
5.000000e-02	6.000000e-02	6.954020e+00	1.179324e-02	1.179324e-02
6.000000e-02	7.000000e-02	5.323680e+00	1.031860e-02	1.031860e-02
7.000000e-02	8.000000e-02	4.179280e+00	9.142516e-03	9.142516e-03
8.000000e-02	9.000000e-02	3.332140e+00	8.163504e-03	8.163504e-03
9.000000e-02	1.000000e-01	2.705520e+00	7.355977e-03	7.355977e-03
1.000000e-01	1.100000e-01	2.232100e+00	6.681467e-03	6.681467e-03
1.100000e-01	1.200000e-01	1.850240e+00	6.083157e-03	6.083157e-03
1.200000e-01	1.300000e-01	1.567480e+00	5.599071e-03	5.599071e-03
1.300000e-01	1.400000e-01	1.331520e+00	5.160465e-03	5.160465e-03
1.400000e-01	1.500000e-01	1.132020e+00	4.758193e-03	4.758193e-03
1.500000e-01	1.600000e-01	9.753800e-01	4.416741e-03	4.416741e-03
1.600000e-01	1.700000e-01	8.308000e-01	4.076273e-03	4.076273e-03
1.700000e-01	1.800000e-01	7.188600e-01	3.791728e-03	3.791728e-03
1.800000e-01	1.900000e-01	6.145600e-01	3.505881e-03	3.505881e-03
1.900000e-01	2.000000e-01	5.246800e-01	3.239383e-03	3.239383e-03
2.000000e-01	2.100000e-01	4.541200e-01	3.013702e-03	3.013702e-03
2.100000e-01	2.200000e-01	3.959200e-01	2.813965e-03	2.813965e-03
2.200000e-01	2.300000e-01	3.415800e-01	2.613733e-03	2.613733e-03
2.300000e-01	2.400000e-01	2.851000e-01	2.387886e-03	2.387886e-03
2.400000e-01	2.500000e-01	2.427600e-01	2.203452e-03	2.203452e-03
2.500000e-01	2.600000e-01	2.045600e-01	2.022672e-03	2.022672e-03
2.600000e-01	2.700000e-01	1.570600e-01	1.772343e-03	1.772343e-03
2.700000e-01	2.800000e-01	1.167400e-01	1.528005e-03	1.528005e-03
2.800000e-01	2.900000e-01	8.562000e-02	1.308587e-03	1.308587e-03
2.900000e-01	3.000000e-01	5.840000e-02	1.080740e-03	1.080740e-03
3.000000e-01	3.100000e-01	3.720000e-02	8.625543e-04	8.625543e-04
3.100000e-01	3.200000e-01	2.216000e-02	6.657327e-04	6.657327e-04
3.200000e-01	3.300000e-01	1.230000e-02	4.959839e-04	4.959839e-04
3.300000e-01	3.400000e-01	5.860000e-03	3.423449e-04	3.423449e-04
3.400000e-01	3.500000e-01	2.280000e-03	2.135416e-04	2.135416e-04
3.500000e-01	3.600000e-01	1.260000e-03	1.587451e-04	1.587451e-04
3.600000e-01	3.700000e-01	5.400000e-04	1.039230e-04	1.039230e-04
3.700000e-01	3.800000e-01	2.200000e-04	6.633250e-05	6.633250e-05
3.800000e-01	3.900000e-01	1.400000e-04	5.291503e-05	5.291503e-05
# END HISTO1D

