# BEGIN PLOT
Legend=1
LogY=1
Title=Total jet broadening ($E_\mathrm{CMS}=189$ GeV)
XLabel=$B_T$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}B_T$
LegendXPos=0.15
LegendYPos=0.3
DrawOnly=/ALEPH_2004_S5765862/d75-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d75-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d75-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d75-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d75-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d75-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d75-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	2.168000e+00	2.155827e-01	2.155827e-01
3.000000e-02	4.000000e-02	1.118980e+01	7.126078e-01	7.126078e-01
4.000000e-02	5.000000e-02	1.149590e+01	6.451836e-01	6.451836e-01
5.000000e-02	6.000000e-02	9.970600e+00	5.599979e-01	5.599979e-01
6.000000e-02	7.500000e-02	7.358200e+00	3.942838e-01	3.942838e-01
7.500000e-02	9.000000e-02	6.672500e+00	3.706130e-01	3.706130e-01
9.000000e-02	1.100000e-01	5.132200e+00	2.812619e-01	2.812619e-01
1.100000e-01	1.300000e-01	3.473000e+00	2.277701e-01	2.277701e-01
1.300000e-01	1.600000e-01	2.833400e+00	1.774233e-01	1.774233e-01
1.600000e-01	2.000000e-01	1.539200e+00	1.308734e-01	1.308734e-01
2.000000e-01	2.500000e-01	1.062500e+00	1.224590e-01	1.224590e-01
2.500000e-01	3.000000e-01	3.621000e-01	1.315238e-01	1.315238e-01
3.000000e-01	4.000000e-01	8.040000e-02	7.419117e-02	7.419117e-02
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d75-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d75-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	1.925540e+00	3.582867e-03	3.582867e-03
3.000000e-02	4.000000e-02	1.028442e+01	1.434184e-02	1.434184e-02
4.000000e-02	5.000000e-02	1.118814e+01	1.495870e-02	1.495870e-02
5.000000e-02	6.000000e-02	1.007052e+01	1.419191e-02	1.419191e-02
6.000000e-02	7.500000e-02	8.399693e+00	1.058281e-02	1.058281e-02
7.500000e-02	9.000000e-02	6.662920e+00	9.425441e-03	9.425441e-03
9.000000e-02	1.100000e-01	5.098060e+00	7.140070e-03	7.140070e-03
1.100000e-01	1.300000e-01	3.784320e+00	6.151683e-03	6.151683e-03
1.300000e-01	1.600000e-01	2.678507e+00	4.225720e-03	4.225720e-03
1.600000e-01	2.000000e-01	1.667730e+00	2.887672e-03	2.887672e-03
2.000000e-01	2.500000e-01	9.229080e-01	1.921362e-03	1.921362e-03
2.500000e-01	3.000000e-01	4.602120e-01	1.356779e-03	1.356779e-03
3.000000e-01	4.000000e-01	6.995800e-02	3.740535e-04	3.740535e-04
# END HISTO1D

