# BEGIN PLOT
Legend=1
LogY=1
Title=Wide jet broadening ($E_\mathrm{CMS}=206$ GeV)
XLabel=$B_W$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}B_W$
LegendXPos=0.15
LegendYPos=0.3
DrawOnly=/ALEPH_2004_S5765862/d85-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d85-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d85-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d85-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d85-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d85-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d85-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d85-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d85-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	6.028200e+00	3.984051e-01	3.984051e-01
2.000000e-02	3.000000e-02	1.683160e+01	7.593459e-01	7.593459e-01
3.000000e-02	4.000000e-02	1.360630e+01	6.643996e-01	6.643996e-01
4.000000e-02	5.000000e-02	9.800700e+00	5.668616e-01	5.668616e-01
5.000000e-02	6.500000e-02	7.108100e+00	3.977447e-01	3.977447e-01
6.500000e-02	8.000000e-02	5.953200e+00	3.581614e-01	3.581614e-01
8.000000e-02	1.000000e-01	3.847600e+00	2.621696e-01	2.621696e-01
1.000000e-01	1.500000e-01	2.476800e+00	1.485392e-01	1.485392e-01
1.500000e-01	2.000000e-01	1.165300e+00	1.328504e-01	1.328504e-01
2.000000e-01	2.500000e-01	3.282000e-01	1.071064e-01	1.071064e-01
2.500000e-01	3.000000e-01	1.133000e-01	6.549412e-02	6.549412e-02
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d85-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d85-x01-y01
ScaledBy=1.00009600921688489e-06
Title=My Shower
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	8.004970e+00	2.000717e-02	2.000717e-02
2.000000e-02	3.000000e-02	1.814214e+01	4.259563e-02	4.259563e-02
3.000000e-02	4.000000e-02	1.311446e+01	3.621563e-02	3.621563e-02
4.000000e-02	5.000000e-02	9.462808e+00	3.076315e-02	3.076315e-02
5.000000e-02	6.500000e-02	6.735713e+00	2.119176e-02	2.119176e-02
6.500000e-02	8.000000e-02	4.942608e+00	1.815320e-02	1.815320e-02
8.000000e-02	1.000000e-01	3.661901e+00	1.353191e-02	1.353191e-02
1.000000e-01	1.500000e-01	2.188390e+00	6.616041e-03	6.616041e-03
1.500000e-01	2.000000e-01	1.067182e+00	4.620141e-03	4.620141e-03
2.000000e-01	2.500000e-01	4.006384e-01	2.830820e-03	2.830820e-03
2.500000e-01	3.000000e-01	2.946282e-02	7.676674e-04	7.676674e-04
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d85-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d85-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	5.343100e+00	7.309651e-03	7.309651e-03
2.000000e-02	3.000000e-02	1.581382e+01	1.778416e-02	1.778416e-02
3.000000e-02	4.000000e-02	1.324016e+01	1.627277e-02	1.627277e-02
4.000000e-02	5.000000e-02	1.060434e+01	1.456320e-02	1.456320e-02
5.000000e-02	6.500000e-02	8.124907e+00	1.040827e-02	1.040827e-02
6.500000e-02	8.000000e-02	5.966147e+00	8.919003e-03	8.919003e-03
8.000000e-02	1.000000e-01	4.287410e+00	6.547832e-03	6.547832e-03
1.000000e-01	1.500000e-01	2.399544e+00	3.098092e-03	3.098092e-03
1.500000e-01	2.000000e-01	1.074636e+00	2.073293e-03	2.073293e-03
2.000000e-01	2.500000e-01	4.468680e-01	1.336964e-03	1.336964e-03
2.500000e-01	3.000000e-01	6.757200e-02	5.198923e-04	5.198923e-04
# END HISTO1D

