# BEGIN PLOT
Legend=1
LogY=1
Title=C-Parameter ($E_\mathrm{CMS}=200$ GeV)
XLabel=$C$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}C$
LegendXPos=0.15
LegendYPos=0.3
DrawOnly=/ALEPH_2004_S5765862/d92-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d92-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d92-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d92-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d92-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d92-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d92-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	2.145200e+00	1.603273e-01	1.603273e-01
5.000000e-02	8.000000e-02	5.329100e+00	2.713230e-01	2.713230e-01
8.000000e-02	1.100000e-01	3.995600e+00	2.177765e-01	2.177765e-01
1.100000e-01	1.400000e-01	3.211200e+00	1.914814e-01	1.914814e-01
1.400000e-01	1.800000e-01	2.281800e+00	1.397550e-01	1.397550e-01
1.800000e-01	2.200000e-01	1.864200e+00	1.250843e-01	1.250843e-01
2.200000e-01	3.000000e-01	1.466400e+00	7.700922e-02	7.700922e-02
3.000000e-01	4.000000e-01	9.019000e-01	5.862849e-02	5.862849e-02
4.000000e-01	5.000000e-01	5.807000e-01	4.960423e-02	4.960423e-02
5.000000e-01	6.000000e-01	3.723000e-01	4.731596e-02	4.731596e-02
6.000000e-01	7.500000e-01	2.336000e-01	4.572363e-02	4.572363e-02
7.500000e-01	1.000000e+00	2.960000e-02	3.555840e-02	3.555840e-02
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d92-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d92-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.938756e+00	2.784784e-03	2.784784e-03
5.000000e-02	8.000000e-02	4.788413e+00	5.650023e-03	5.650023e-03
8.000000e-02	1.100000e-01	4.005467e+00	5.167505e-03	5.167505e-03
1.100000e-01	1.400000e-01	3.186947e+00	4.609372e-03	4.609372e-03
1.400000e-01	1.800000e-01	2.486725e+00	3.526135e-03	3.526135e-03
1.800000e-01	2.200000e-01	1.927000e+00	3.104030e-03	3.104030e-03
2.200000e-01	3.000000e-01	1.386905e+00	1.862059e-03	1.862059e-03
3.000000e-01	4.000000e-01	9.058120e-01	1.345966e-03	1.345966e-03
4.000000e-01	5.000000e-01	6.034520e-01	1.098592e-03	1.098592e-03
5.000000e-01	6.000000e-01	4.234620e-01	9.202847e-04	9.202847e-04
6.000000e-01	7.500000e-01	2.936200e-01	6.256943e-04	6.256943e-04
7.500000e-01	1.000000e+00	7.528160e-02	2.454084e-04	2.454084e-04
# END HISTO1D

