# BEGIN PLOT
Legend=1
LogY=1
Title=Thrust major ($E_\mathrm{CMS}=172$ GeV)
XLabel=$T_\mathrm{major}$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}T_\mathrm{major}$
LegendXPos=0.65
LegendYPos=0.8
DrawOnly=/ALEPH_2004_S5765862/d97-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d97-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d97-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d97-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d97-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d97-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d97-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-02	5.682000e-01	4.166052e-01	4.166052e-01
4.000000e-02	8.000000e-02	6.952700e+00	9.707206e-01	9.707206e-01
8.000000e-02	1.200000e-01	4.763000e+00	6.629179e-01	6.629179e-01
1.200000e-01	1.600000e-01	3.991300e+00	6.094732e-01	6.094732e-01
1.600000e-01	2.200000e-01	1.954200e+00	3.702270e-01	3.702270e-01
2.200000e-01	3.000000e-01	1.010800e+00	2.591191e-01	2.591191e-01
3.000000e-01	4.000000e-01	8.415000e-01	2.280872e-01	2.280872e-01
4.000000e-01	5.000000e-01	4.203000e-01	1.933884e-01	1.933884e-01
5.000000e-01	6.000000e-01	2.469000e-01	1.642909e-01	1.642909e-01
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d97-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d97-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-02	6.465550e-01	1.797992e-03	1.797992e-03
4.000000e-02	8.000000e-02	6.155620e+00	5.547801e-03	5.547801e-03
8.000000e-02	1.200000e-01	5.316735e+00	5.155936e-03	5.155936e-03
1.200000e-01	1.600000e-01	3.655160e+00	4.275020e-03	4.275020e-03
1.600000e-01	2.200000e-01	2.368283e+00	2.809676e-03	2.809676e-03
2.200000e-01	3.000000e-01	1.364103e+00	1.846688e-03	1.846688e-03
3.000000e-01	4.000000e-01	7.019640e-01	1.184875e-03	1.184875e-03
4.000000e-01	5.000000e-01	3.410780e-01	8.259274e-04	8.259274e-04
5.000000e-01	6.000000e-01	1.249120e-01	4.998240e-04	4.998240e-04
# END HISTO1D

